phase,x,y,alpha,ref_alpha,dE_I
0,0.0,0.0,89.0426354445107,11.2,0
0,0.0,0.0,89.0428979792678,11.2,0
0,0.0,0.0,89.04110403662624,11.2,0
0,0.0,0.0,89.04320660748682,11.2,0
0,0.0,0.0,89.0422530492416,11.2,0
0,0.0,0.0,89.04095896520292,11.2,0
0,0.0,0.0,89.03959608369664,11.2,0
0,0.0,0.0,89.0409015241198,11.2,0
0,0.0,0.0,89.04118316352746,11.2,0
0,0.0,0.0,89.04101312873611,11.2,0
0,0.0,0.0,89.04146759837063,11.2,0
0,0.0,0.0,89.0434227992432,11.2,0
0,0.0,0.0,89.04421634836694,11.2,0
0,0.0,0.0,89.04587671950414,11.2,0
0,0.0,0.0,89.04589571577009,11.2,0
0,0.0,0.0,89.04523050058452,11.2,0
0,0.0,0.0,89.04772504716811,11.2,0
0,0.0,0.0,89.05020467236685,11.2,0
0,0.0,0.0,89.0510506742963,11.2,0
0,0.0,0.0,89.05186253833064,11.2,0
0,0.0,0.0,89.05001866667914,11.2,0
0,0.0,0.0,89.05073900061868,11.2,0
0,0.0,0.0,89.05058659788138,11.2,0
0,0.0,0.0,89.05108783165771,11.2,0
0,0.0,0.0,89.05220153390546,11.2,0
0,0.0,0.0,89.05435375025034,11.2,0
0,0.0,0.0,89.05437672802017,11.2,0
0,0.0,0.0,89.05381559839411,11.2,0
0,0.0,0.0,89.05431519704469,11.2,0
0,0.0,0.0,89.05285672128741,11.2,0
0,0.0,0.0,89.05460792682501,11.2,0
0,0.0,0.0,89.0527065292454,11.2,0
0,0.0,0.0,89.05330009148075,11.2,0
0,0.0,0.0,89.05284811207675,11.2,0
0,0.0,0.0,89.05434092117717,11.2,0
0,0.0,0.0,89.05691612283123,11.2,0
0,0.0,0.0,89.05788774467916,11.2,0
0,0.0,0.0,89.05677809296006,11.2,0
0,0.0,0.0,89.05722448208823,11.2,0
0,0.0,0.0,89.05756939933671,11.2,0
0,0.0,0.0,89.05988798612228,11.2,0
0,0.0,0.0,89.06170047377793,11.2,0
0,0.0,0.0,89.06144784104711,11.2,0
0,0.0,0.0,89.06273318157324,11.2,0
0,0.0,0.0,89.06359712657182,11.2,0
0,0.0,0.0,89.06439016415028,11.2,0
0,0.0,0.0,89.06264172406308,11.2,0
0,0.0,0.0,89.06455081180142,11.2,0
0,0.0,0.0,89.06432152958196,11.2,0
0,0.0,0.0,89.06664149631395,11.2,0
0,0.0,0.0,89.06745308378046,11.2,0
0,0.0,0.0,89.0666192119487,11.2,0
0,0.0,0.0,89.06736252071173,11.2,0
0,0.0,0.0,89.06857007267948,11.2,0
0,0.0,0.0,89.06815964243368,11.2,0
0,0.0,0.0,89.06784528489871,11.2,0
0,0.0,0.0,89.06754611012276,11.2,0
0,0.0,0.0,89.06622909227029,11.2,0
0,0.0,0.0,89.06684953706564,11.2,0
0,0.0,0.0,89.03444804139836,11.2,0
0,0.0,0.0,89.02340514105991,11.2,0
0,0.0,0.0,88.97412170315259,11.2,0
0,0.0,0.0,88.95150714662377,11.2,0
0,0.0,0.0,88.94298596630897,11.2,0
0,0.0,0.0,88.93684857218113,11.2,0
0,0.0,0.0,88.94516595850811,11.2,0
0,0.0,0.0,88.95643239079118,11.2,0
0,0.0,0.0,88.95730149495802,11.2,0
0,0.0,0.0,88.95835445842287,11.2,0
0,0.0,0.0,88.94755935981543,11.2,0
0,0.0,0.0,88.93576268668299,11.2,0
0,0.0,0.0,88.91921586022129,11.2,0
0,0.0,0.0,88.89671959311876,11.2,0
0,0.0,0.0,88.89134313880248,11.2,0
0,0.0,0.0,88.93777753480306,11.2,0
0,0.0,0.0,89.00574141810765,11.2,0
0,0.0,0.0,89.03737237889816,11.2,0
0,0.0,0.0,89.00786336384644,11.2,0
0,0.0,0.0,89.04786929554423,11.2,0
0,0.0,0.0,89.00922846971648,11.2,0
0,0.0,0.0,89.0234694293308,11.2,0
0,0.0,0.0,89.04807027684402,11.2,0
0,0.0,0.0,89.0172850376814,11.2,0
0,0.0,0.0,89.0368748355149,11.2,0
0,0.0,0.0,88.95264215493977,11.2,0
0,0.0,0.0,88.90680681972634,11.2,0
0,0.0,0.0,88.87117774346248,11.2,0
0,0.0,0.0,88.78738477466854,11.2,0
0,0.0,0.0,88.77057276488631,11.2,0
0,0.0,0.0,88.70406145345342,11.2,0
0,0.0,0.0,88.63824566753647,11.2,0
0,0.0,0.0,88.52071815172481,11.2,0
0,0.0,0.0,88.28139390729531,11.2,0
0,0.0,0.0,87.93701966529683,11.2,0
0,0.0,0.0,87.43019212256647,11.2,0
0,0.0,0.0,86.73279255508598,11.2,0
0,0.0,0.0,85.90408674766317,11.2,0
0,0.0,0.0,84.91600534134402,11.2,0
0,0.0,0.0,83.74810491143657,11.2,0
0,0.0,0.0,82.44797253626345,11.2,0
0,0.0,0.0,81.02222749658698,11.2,0
0,0.0,0.0,79.49021395587725,11.2,0
0,0.0,0.0,77.93119069323674,11.2,0
0,0.0,0.0,76.32906342766184,11.2,0
0,0.0,0.0,74.66423005243462,11.2,0
0,0.0,0.0,72.92549186710608,11.2,0
0,0.0,0.0,71.10341294011724,11.2,0
0,0.0,0.0,69.20492917167114,11.2,0
0,0.0,0.0,67.2472050666553,11.2,0
0,0.0,0.0,65.25741165597518,11.2,0
0,0.0,0.0,63.23805317481747,11.2,0
0,0.0,0.0,61.19084410994287,11.2,0
0,0.0,0.0,59.09790898116978,11.2,0
0,0.0,0.0,56.979877744581714,11.2,0
0,0.0,0.0,54.85164598283534,11.2,0
0,0.0,0.0,52.73355011654794,11.2,0
0,0.0,0.0,50.63779364038172,11.2,0
0,0.0,0.0,48.56549766934203,11.2,0
0,0.0,0.0,46.51919870010624,11.2,0
0,0.0,0.0,44.478005822263185,11.2,0
0,0.0,0.0,42.43075550991851,11.2,0
0,0.0,0.0,40.37162643419899,11.2,0
0,0.0,0.0,38.30136130145553,11.2,0
