phase,x,y,alpha,ref_alpha,dE_I
0,0.0,0.0,89.08308352854168,11.2,0
0,0.0,0.0,89.08301378456862,11.2,0
0,0.0,0.0,89.0837791094624,11.2,0
0,0.0,0.0,89.08292301408049,11.2,0
0,0.0,0.0,89.08372639434307,11.2,0
0,0.0,0.0,89.08250859601021,11.2,0
0,0.0,0.0,89.08493536341045,11.2,0
0,0.0,0.0,89.0868343659337,11.2,0
0,0.0,0.0,89.08714997173892,11.2,0
0,0.0,0.0,89.08854108986368,11.2,0
0,0.0,0.0,89.08820404830801,11.2,0
0,0.0,0.0,89.08851294819195,11.2,0
0,0.0,0.0,89.08950012686857,11.2,0
0,0.0,0.0,89.087926535025,11.2,0
0,0.0,0.0,89.0879063230031,11.2,0
0,0.0,0.0,89.09040629711107,11.2,0
0,0.0,0.0,89.09076147320532,11.2,0
0,0.0,0.0,89.09207645828644,11.2,0
0,0.0,0.0,89.09286186746307,11.2,0
0,0.0,0.0,89.0915555871635,11.2,0
0,0.0,0.0,89.09184238745546,11.2,0
0,0.0,0.0,89.09105900328254,11.2,0
0,0.0,0.0,89.08960624644801,11.2,0
0,0.0,0.0,89.0896964728387,11.2,0
0,0.0,0.0,89.08920676802839,11.2,0
0,0.0,0.0,89.09088473061381,11.2,0
0,0.0,0.0,89.09271189219554,11.2,0
0,0.0,0.0,89.09047236501854,11.2,0
0,0.0,0.0,89.0923659244833,11.2,0
0,0.0,0.0,89.09422213522959,11.2,0
0,0.0,0.0,89.09453068783368,11.2,0
0,0.0,0.0,89.09584736311109,11.2,0
0,0.0,0.0,89.09674208353047,11.2,0
0,0.0,0.0,89.09868999123184,11.2,0
0,0.0,0.0,89.0985703335868,11.2,0
0,0.0,0.0,89.09843194988468,11.2,0
0,0.0,0.0,89.0986128559157,11.2,0
0,0.0,0.0,89.09819285438486,11.2,0
0,0.0,0.0,89.09935333267599,11.2,0
0,0.0,0.0,89.09529945145208,11.2,0
0,0.0,0.0,89.09594309301173,11.2,0
0,0.0,0.0,89.09346246963412,11.2,0
0,0.0,0.0,89.09511334095257,11.2,0
0,0.0,0.0,89.09461042358522,11.2,0
0,0.0,0.0,89.09667924333205,11.2,0
0,0.0,0.0,89.09773572980106,11.2,0
0,0.0,0.0,89.09679104786507,11.2,0
0,0.0,0.0,89.09644523924399,11.2,0
0,0.0,0.0,89.09615186250379,11.2,0
0,0.0,0.0,89.09739285726323,11.2,0
0,0.0,0.0,89.09604297843102,11.2,0
0,0.0,0.0,89.09726009759697,11.2,0
0,0.0,0.0,89.0974214175675,11.2,0
0,0.0,0.0,89.10032025461173,11.2,0
0,0.0,0.0,89.100099774955,11.2,0
0,0.0,0.0,89.09972996089674,11.2,0
0,0.0,0.0,89.09991374667821,11.2,0
0,0.0,0.0,89.09748794651355,11.2,0
0,0.0,0.0,89.0987111701114,11.2,0
0,0.0,0.0,89.09845570695008,11.2,0
0,0.0,0.0,89.09819591670804,11.2,0
0,0.0,0.0,89.09698466297507,11.2,0
0,0.0,0.0,89.09633567354945,11.2,0
0,0.0,0.0,89.09868280646832,11.2,0
0,0.0,0.0,89.09794346562087,11.2,0
0,0.0,0.0,89.09722750819249,11.2,0
0,0.0,0.0,89.09798103041324,11.2,0
