phase,x,y,alpha,ref_alpha,dE_I
0,0.0,0.0,90.02977571666537,11.2,0
0,0.0,0.0,90.02936701992304,11.2,0
0,0.0,0.0,90.02847903527443,11.2,0
0,0.0,0.0,90.0282345413709,11.2,0
0,0.0,0.0,90.02996402750206,11.2,0
0,0.0,0.0,90.0311616709067,11.2,0
0,0.0,0.0,90.02981148058312,11.2,0
0,0.0,0.0,90.028927619765,11.2,0
0,0.0,0.0,90.0311233240926,11.2,0
0,0.0,0.0,90.03017999620634,11.2,0
0,0.0,0.0,90.031274340656,11.2,0
0,0.0,0.0,90.03239456028382,11.2,0
0,0.0,0.0,90.03246455187671,11.2,0
0,0.0,0.0,90.03242049446239,11.2,0
0,0.0,0.0,90.032853231418,11.2,0
0,0.0,0.0,90.03285554649815,11.2,0
0,0.0,0.0,90.03172532449788,11.2,0
0,0.0,0.0,90.03055943963885,11.2,0
0,0.0,0.0,90.03157343979619,11.2,0
0,0.0,0.0,90.03201441849207,11.2,0
0,0.0,0.0,90.03087898906125,11.2,0
0,0.0,0.0,90.03242265478465,11.2,0
0,0.0,0.0,90.03291861149208,11.2,0
0,0.0,0.0,90.03244382507398,11.2,0
0,0.0,0.0,90.0325632413667,11.2,0
0,0.0,0.0,90.03257803655988,11.2,0
0,0.0,0.0,90.03212312317513,11.2,0
0,0.0,0.0,90.03231569581816,11.2,0
0,0.0,0.0,90.03091421912866,11.2,0
0,0.0,0.0,90.03002619339931,11.2,0
0,0.0,0.0,90.0276248110482,11.2,0
0,0.0,0.0,90.02832463076052,11.2,0
0,0.0,0.0,90.02899085368095,11.2,0
0,0.0,0.0,90.03023349566219,11.2,0
0,0.0,0.0,90.0304480692955,11.2,0
0,0.0,0.0,90.02912179479286,11.2,0
0,0.0,0.0,90.02887781508984,11.2,0
0,0.0,0.0,90.02811328994471,11.2,0
0,0.0,0.0,90.027336289418,11.2,0
0,0.0,0.0,90.0282056957227,11.2,0
0,0.0,0.0,90.03010904223095,11.2,0
0,0.0,0.0,90.02933235619655,11.2,0
0,0.0,0.0,90.02750747340922,11.2,0
0,0.0,0.0,90.02818172458524,11.2,0
0,0.0,0.0,90.02880925300836,11.2,0
0,0.0,0.0,90.0283547309223,11.2,0
0,0.0,0.0,90.02735504668175,11.2,0
0,0.0,0.0,90.0268180909062,11.2,0
0,0.0,0.0,90.0283347817842,11.2,0
0,0.0,0.0,90.02831440501714,11.2,0
0,0.0,0.0,90.02623921985915,11.2,0
