active,angle,s0,s1,s2,s3,s4,line_position
False,90.633,0,0,0,0,0,0
False,90.632,0,0,0,0,0,0
False,90.632,0,0,0,0,0,0
False,90.63,0,0,0,0,0,0
False,90.632,0,0,0,0,0,0
False,90.631,0,0,0,0,0,0
False,90.631,0,0,0,0,0,0
False,90.632,0,0,0,0,0,0
False,90.631,0,0,0,0,0,0
False,90.629,0,0,0,0,0,0
False,90.629,0,0,0,0,0,0
False,90.629,0,0,0,0,0,0
False,90.629,0,0,0,0,0,0
False,90.627,0,0,0,0,0,0
False,90.626,0,0,0,0,0,0
False,90.625,0,0,0,0,0,0
False,90.624,0,0,0,0,0,0
False,90.625,0,0,0,0,0,0
False,90.627,0,0,0,0,0,0
False,90.625,0,0,0,0,0,0
False,90.626,0,0,0,0,0,0
False,90.626,0,0,0,0,0,0
False,90.627,0,0,0,0,0,0
False,90.627,0,0,0,0,0,0
False,90.626,0,0,0,0,0,0
False,90.627,0,0,0,0,0,0
False,90.626,0,0,0,0,0,0
False,90.626,0,0,0,0,0,0
False,90.627,0,0,0,0,0,0
False,90.626,0,0,0,0,0,0
False,90.625,0,0,0,0,0,0
False,90.625,0,0,0,0,0,0
False,90.624,0,0,0,0,0,0
False,90.624,0,0,0,0,0,0
False,90.623,0,0,0,0,0,0
False,90.623,0,0,0,0,0,0
False,90.621,0,0,0,0,0,0
False,90.621,0,0,0,0,0,0
False,90.62,0,0,0,0,0,0
False,90.619,0,0,0,0,0,0
False,90.619,0,0,0,0,0,0
False,90.618,0,0,0,0,0,0
False,90.618,0,0,0,0,0,0
False,90.619,0,0,0,0,0,0
False,90.619,0,0,0,0,0,0
False,90.62,0,0,0,0,0,0
False,90.62,0,0,0,0,0,0
False,90.62,0,0,0,0,0,0
False,90.621,0,0,0,0,0,0
False,90.619,0,0,0,0,0,0
False,90.62,0,0,0,0,0,0
False,90.62,0,0,0,0,0,0
False,90.62,0,0,0,0,0,0
False,90.62,0,0,0,0,0,0
False,90.619,0,0,0,0,0,0
False,90.619,0,0,0,0,0,0
False,90.616,0,0,0,0,0,0
False,90.615,0,0,0,0,0,0
False,90.616,0,0,0,0,0,0
False,90.614,0,0,0,0,0,0
False,90.614,0,0,0,0,0,0
False,90.614,0,0,0,0,0,0
False,90.616,0,0,0,0,0,0
False,90.615,0,0,0,0,0,0
False,90.613,0,0,0,0,0,0
False,90.612,0,0,0,0,0,0
False,90.614,0,0,0,0,0,0
False,90.614,0,0,0,0,0,0
False,90.616,0,0,0,0,0,0
False,90.616,0,0,0,0,0,0
False,90.617,0,0,0,0,0,0
False,90.618,0,0,0,0,0,0
False,90.617,0,0,0,0,0,0
False,90.616,0,0,0,0,0,0
False,90.611,0,0,0,0,0,0
False,90.624,0,0,0,0,0,0
False,90.606,0,0,0,0,0,0
False,90.617,0,0,0,0,0,0
False,90.606,0,0,0,0,0,0
False,90.603,0,0,0,0,0,0
False,90.291,824,0,0,0,0,-2.0
False,90.228,1408,0,176,0,0,-1.7777777777777777
False,89.517,1560,0,324,0,0,-1.6560509554140128
False,88.487,1792,64,528,0,0,-1.530201342281879
False,87.298,1972,240,736,0,0,-1.4192672998643148
False,85.862,2080,416,908,0,0,-1.3443008225616924
False,84.015,2208,688,1152,0,0,-1.2608695652173911
False,82.215,2292,860,1388,172,0,-1.1188455008488967
False,80.401,2320,956,1536,352,0,-1.015491866769946
False,78.565,2320,1136,1724,600,0,-0.8955017301038062
False,76.688,2356,1320,1844,780,0,-0.8336507936507935
False,74.863,2352,1468,1928,928,0,-0.7855002995805873
False,73.014,2352,1680,2048,1148,0,-0.724405091311566
False,71.194,2348,1860,2168,1352,0,-0.6733954451345755
False,69.441,2352,1928,2232,1452,0,-0.6504269211451532
False,67.727,2352,2016,2324,1608,0,-0.6159036144578314
False,66.088,2352,2104,2352,1724,0,-0.5958743553680264
False,64.515,2352,2160,2352,1784,0,-0.5874190564292322
False,62.971,2352,2228,2352,1908,0,-0.5683257918552037
False,61.432,2352,2260,2352,1980,0,-0.5572450805008945
False,59.908,2352,2288,2352,2040,0,-0.5482728077945084
False,58.37,2352,2288,2352,2072,0,-0.5428067078552515
False,56.786,2352,2292,2384,2096,164,-0.5399149740198395
False,55.21,2352,2288,2380,2132,392,-0.5374472573839664
False,53.699,2352,2292,2384,2136,556,-0.540057636887608
False,52.251,2352,2288,2380,2100,744,-0.5540364583333333
False,50.817,2348,2288,2380,2092,840,-0.558803061934586
False,49.363,2352,2292,2384,2104,848,-0.556794425087108
False,47.892,2344,2284,2380,2064,940,-0.5700301204819278
False,46.368,2352,2292,2384,2040,1012,-0.5840637450199202
False,44.844,2352,2292,2384,2036,1036,-0.586991869918699
False,43.381,2352,2288,2380,1976,1072,-0.6100254885301614
False,41.95,2348,2256,2376,1940,1104,-0.622557726465364
False,40.485,2352,2260,2384,1916,1144,-0.6365313653136533
False,38.956,2344,2252,2376,1876,1164,-0.6526717557251909
False,37.368,2352,2232,2352,1848,1176,-0.6705882352941178
False,35.723,2352,2252,2352,1844,1200,-0.678
False,34.02,2352,2260,2352,1848,1240,-0.684319833852544
False,32.274,2352,2260,2384,1852,1336,-0.6963470319634703
False,30.481,2352,2260,2380,1876,1428,-0.7072243346007603
True,28.681,2352,2260,2380,1916,1492,0
True,26.902,2352,2292,2380,1940,1588,-0.7197549770290965
True,25.125,2352,2292,2380,1976,1620,-0.7063492063492064
True,23.463,2344,2284,2380,2000,1648,-0.693708609271523
True,21.891,2352,2292,2384,2036,1684,-0.683848797250859
True,20.464,2348,2288,2380,2036,1716,-0.6928702010968921
True,19.208,2344,2284,2376,2032,1744,-0.7048543689320389
True,18.176,2352,2288,2380,2032,1776,-0.7227926078028748
True,17.309,2352,2292,2384,2040,1816,-0.7339246119733924
True,16.602,2348,2280,2380,2032,1808,-0.7345132743362832
True,15.997,2352,2288,2380,2000,1840,-0.7903614457831325
True,15.466,2344,2284,2372,1968,1840,-0.8233830845771144
True,14.998,2352,2288,2380,1968,1840,-0.8255528255528256
True,14.562,2352,2288,2380,1944,1844,-0.8564231738035263
True,14.144,2352,2292,2384,1940,1812,-0.8325581395348838
True,13.722,2352,2292,2384,1908,1748,-0.8189300411522634
True,13.288,2348,2288,2380,1912,1716,-0.7945736434108526
True,12.835,2352,2288,2380,1936,1712,-0.7741935483870968
True,12.388,2348,2288,2380,1944,1712,-0.7651515151515151
True,11.968,2352,2292,2384,1980,1724,-0.7424242424242425
True,11.613,2352,2288,2380,1976,1744,-0.7564356435643566
True,11.321,2352,2288,2380,1976,1752,-0.7605633802816901
True,11.067,2352,2288,2380,1976,1752,-0.7605633802816901
True,10.839,2352,2292,2384,1976,1780,-0.7749469214437366
True,10.625,2352,2288,2380,1976,1784,-0.7784946236559139
True,10.453,2344,2284,2376,2004,1776,-0.7436974789915968
True,10.319,2352,2292,2384,2008,1784,-0.7473684210526316
True,10.231,2348,2284,2376,2036,1780,-0.7193347193347194
True,10.183,2352,2292,2384,2036,1776,-0.7183673469387754
True,10.18,2352,2292,2384,2040,1784,-0.7184265010351967
True,10.215,2348,2288,2380,2032,1808,-0.73568281938326
True,10.277,2352,2292,2384,2040,1812,-0.7318681318681318
True,10.367,2344,2284,2376,2032,1808,-0.7339246119733924
True,10.472,2352,2288,2380,2032,1808,-0.7384615384615385
True,10.593,2352,2288,2380,2040,1808,-0.7308533916849017
True,10.721,2344,2280,2372,2032,1776,-0.7193347193347194
True,10.835,2352,2292,2384,2040,1780,-0.7166324435318275
True,10.931,2352,2288,2380,2040,1776,-0.7157464212678937
True,11.004,2352,2288,2380,2032,1776,-0.7227926078028748
True,11.041,2348,2288,2380,2036,1776,-0.7166324435318275
True,11.062,2352,2292,2384,2040,1816,-0.7339246119733924
True,11.081,2348,2288,2380,2032,1808,-0.73568281938326
True,11.096,2352,2292,2380,2040,1816,-0.7355555555555554
True,11.116,2352,2288,2380,2040,1816,-0.734966592427617
True,11.145,2352,2292,2380,2040,1808,-0.7314410480349347
True,11.19,2352,2288,2380,2040,1816,-0.734966592427617
True,11.234,2352,2292,2380,2040,1784,-0.7199170124481329
True,11.275,2352,2292,2384,2040,1812,-0.7318681318681318
True,11.323,2352,2288,2380,2040,1816,-0.734966592427617
True,11.384,2344,2284,2376,2064,1808,-0.7037037037037037
True,11.43,2352,2292,2384,2072,1816,-0.7037037037037037
True,11.454,2344,2284,2376,2064,1808,-0.7037037037037037
True,11.462,2352,2292,2380,2064,1840,-0.724537037037037
True,11.469,2352,2288,2380,2072,1812,-0.7028199566160521
True,11.473,2352,2292,2384,2064,1840,-0.722863741339492
