phase,raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z,delta_encoder,mag_orient,theta
0,148,-532,-1135,-162,-154,16921,0.0,-38.06281928983675,0.0
0,260,-514,-1152,-151,-151,16919,0.0,-40.919107839357785,0.0
0,260,-514,-1152,-171,-180,16932,0.0,-39.32382023768582,0.0
0,260,-514,-1152,-178,-144,16939,0.0,-46.75104307841246,0.0
0,260,-514,-1152,-161,-161,16906,0.0,-40.852082348629224,0.0
0,260,-514,-1152,-181,-177,16895,0.0,-41.35733414078483,0.0
0,260,-514,-1152,-168,-164,16913,0.0,-41.494398831138476,0.0
0,260,-514,-1152,-167,-135,16934,0.0,-46.845473675426106,0.0
0,203,-560,-1166,-150,-145,16921,0.0,-35.931999856694496,0.0
0,203,-560,-1166,-180,-155,16919,0.0,-38.40267964537633,0.0
0,203,-560,-1166,-162,-143,16906,0.0,-51.54606294168772,0.0
0,203,-560,-1166,-177,-165,16903,0.0,-51.17968148184019,0.0
0,203,-560,-1166,-159,-162,16918,0.0,-38.509818197531104,0.0
0,203,-560,-1166,-163,-155,16927,0.0,-46.607848711513064,0.0
0,203,-560,-1166,-178,-139,16893,0.0,-44.626280156645024,0.0
0,231,-465,-1170,-168,-147,16937,0.0,-41.529168858703805,0.0
0,231,-465,-1170,-169,-146,16913,0.0,-45.07070972890292,0.0
0,231,-465,-1170,-167,-160,16915,0.0,-50.14264866611686,0.0
0,231,-465,-1170,-181,-158,16921,0.0,-33.983339648544344,0.0
0,231,-465,-1170,-176,-144,16912,0.0,-42.050747687503616,0.0
0,231,-465,-1170,-155,-146,16929,0.0,-45.13357545100921,0.0
0,231,-465,-1170,-177,-163,16918,0.0,-34.25744516346028,0.0
0,258,-535,-1163,-160,-123,16926,0.0,-48.49354454624574,0.0
0,258,-535,-1163,-178,-157,16911,0.0,-44.359103207432725,0.0
0,258,-535,-1163,-175,-156,16920,0.0,-41.74198818052972,0.0
0,258,-535,-1163,-174,-148,16916,0.0,-46.34253879030126,0.0
0,258,-535,-1163,-185,-175,16916,0.0,-46.38126639819497,0.0
0,258,-535,-1163,-160,-156,16920,0.0,-43.206073586096146,0.0
0,258,-535,-1163,-174,-149,16924,0.0,-44.391020393128635,0.0
0,192,-517,-1194,-171,-156,16922,0.0,-41.02366936447892,0.0
0,192,-517,-1194,-184,-154,16936,0.0,-39.109106604567316,0.0
0,192,-517,-1194,-139,-148,16900,0.0,-42.265933812077506,0.0
0,192,-517,-1194,-175,-138,16914,0.0,-45.15868426170252,0.0
0,192,-517,-1194,-171,-155,16917,0.0,-40.043185234882145,0.0
0,192,-517,-1194,-194,-150,16932,0.0,-45.581573687609016,0.0
0,192,-517,-1194,-178,-143,16926,0.0,-44.62316878062287,0.0
0,323,-534,-1098,-158,-173,16898,0.0,-40.3707749770214,0.0
0,323,-534,-1098,-179,-138,16910,0.0,-50.18000801446896,0.0
0,323,-534,-1098,-161,-170,16912,0.0,-41.38721256154931,0.0
0,323,-534,-1098,-171,-161,16924,0.0,-44.59881736098829,0.0
0,323,-534,-1098,-151,-178,16927,0.0,-38.325584363457395,0.0
0,323,-534,-1098,-159,-169,16930,0.0,-41.21320271994697,0.0
0,323,-534,-1098,-173,-147,16934,0.0,-47.5015397765605,0.0
0,283,-535,-1152,-154,-184,16919,0.0,-36.7330700839801,0.0
0,283,-535,-1152,-153,-148,16911,0.0,-42.74872845200974,0.0
0,283,-535,-1152,-164,-157,16912,0.0,-42.97240897914875,0.0
0,283,-535,-1152,-175,-145,16924,0.0,-46.99702271894289,0.0
0,283,-535,-1152,-175,-147,16909,0.0,-46.61076123790701,0.0
0,283,-535,-1152,-174,-142,16914,0.0,-47.42867025072047,0.0
0,283,-535,-1152,-183,-162,16916,0.0,-45.07390534062607,0.0
0,262,-526,-1104,-161,-159,16903,0.0,-32.96919792026048,0.0
0,262,-526,-1104,-159,-157,16945,0.0,-38.79416962594701,0.0
0,262,-526,-1104,-171,-148,16926,0.0,-40.27702403317672,0.0
0,262,-526,-1104,-167,-153,16934,0.0,-41.5865715092372,0.0
0,262,-526,-1104,-159,-133,16919,0.0,-38.33177345029253,0.0
0,262,-526,-1104,-174,-165,16907,0.0,-42.658899742723634,0.0
0,262,-526,-1104,-188,-163,16914,0.0,-50.73401392867209,0.0
0,383,-374,-780,-159,-152,16891,0.0,-51.90186148806716,0.0
0,383,-374,-780,-172,-159,16947,0.0,-34.60199536044772,0.0
0,383,-374,-780,-181,-157,16923,0.0,-44.72171283607289,0.0
0,383,-374,-780,-192,-164,16928,0.0,-49.050484893560764,0.0
0,383,-374,-780,-194,-161,16909,0.0,-47.76902579862353,0.0
0,383,-374,-780,-179,-150,16922,0.0,-53.2166239743261,0.0
0,383,-374,-780,-154,-155,16916,0.0,-51.10463561737932,0.0
0,314,-511,-1146,-172,-137,16895,0.0,-44.40589054623862,0.0
0,314,-511,-1146,-172,-164,16920,0.0,-42.19732169831546,0.0
0,314,-511,-1146,-168,-156,16898,0.0,-59.731845264464745,0.0
0,314,-511,-1146,-161,-159,16899,0.0,-47.96892617573848,0.0
0,314,-511,-1146,-179,-141,16924,0.0,-43.74433045642964,0.0
0,314,-511,-1146,-172,-160,16944,0.0,-48.123017405841566,0.0
0,314,-511,-1146,-154,-139,16894,0.0,-46.983671203494694,0.0
0,240,-539,-1137,-156,-153,16925,0.0,-38.09421301519985,0.0
0,240,-539,-1137,-174,-166,16931,0.0,-39.67607942549379,0.0
0,240,-539,-1137,-176,-159,16926,0.0,-42.86032035597089,0.0
0,240,-539,-1137,-160,-144,16918,0.0,-43.06927869000246,0.0
0,240,-539,-1137,-151,-157,16917,0.0,-39.01088661556446,0.0
0,240,-539,-1137,-172,-156,16908,0.0,-42.772655399535424,0.0
0,240,-539,-1137,-183,-153,16915,0.0,-45.0043371331684,0.0
0,207,-559,-1211,-185,-153,16940,0.0,-44.55186565333394,0.0
0,207,-559,-1211,-191,-157,16930,0.0,-44.684107005035855,0.0
0,207,-559,-1211,-169,-147,16944,0.0,-43.23353497914269,0.0
0,207,-559,-1211,-182,-150,16991,0.0,-44.67121194407499,0.0
0,207,-559,-1211,-166,-154,16944,0.0,-41.42453217043766,0.0
0,207,-559,-1211,-158,-143,16903,0.0,-42.17541622061148,0.0
0,207,-559,-1211,-183,-169,16910,0.0,-41.444700443992176,0.0
0,237,-556,-1170,-177,-151,16963,0.0,-44.59059059014624,0.0
0,237,-556,-1170,-195,-162,16927,0.0,-45.21942268723476,0.0
0,237,-556,-1170,-150,-159,16930,0.0,-38.579617709230924,0.0
0,237,-556,-1170,-184,-165,16915,0.0,-55.740663430744306,0.0
0,237,-556,-1170,-186,-159,16955,0.0,-44.47541924979604,0.0
0,237,-556,-1170,-173,-154,16965,0.0,-43.41332372984128,0.0
0,237,-556,-1170,-165,-163,16932,0.0,-41.50985879135457,0.0
0,202,-556,-1211,-186,-150,16922,0.0,-56.13900068962469,0.0
0,202,-556,-1211,-172,-138,16921,0.0,-43.71284549244303,0.0
0,202,-556,-1211,-171,-158,16903,0.0,-41.265316896420245,0.0
0,202,-556,-1211,-160,-156,16891,0.0,-40.3878210899983,0.0
0,202,-556,-1211,-173,-166,16957,0.0,-45.761744515214076,0.0
0,202,-556,-1211,-189,-170,16931,0.0,-46.22768427878219,0.0
0,202,-556,-1211,-191,-155,16933,0.0,-38.069557523476746,0.0
0,224,-537,-1196,-173,-181,16905,0.0,-47.148938553807135,0.0
0,224,-537,-1196,-199,-133,16913,0.0,-39.12748813685323,0.0
0,224,-537,-1196,-173,-161,16932,0.0,-43.74617206949916,0.0
0,224,-537,-1196,-181,-147,16901,0.0,-44.89411278747145,0.0
0,224,-537,-1196,-192,-173,16907,0.0,-50.957954060993636,0.0
0,224,-537,-1196,-165,-160,16918,0.0,-43.32641076537968,0.0
0,224,-537,-1196,-170,-150,16933,0.0,-42.927315785214056,0.0
0,194,-546,-1193,-190,-138,16923,0.0,-46.52008167030493,0.0
0,194,-546,-1193,-164,-146,16930,0.0,-34.20184575400813,0.0
0,194,-546,-1193,-183,-152,16895,0.0,-43.99086732713461,0.0
0,194,-546,-1193,-179,-176,16920,0.0,-37.07972095345255,0.0
0,194,-546,-1193,-174,-164,16933,0.0,-40.91784734013499,0.0
0,194,-546,-1193,-171,-162,16907,0.0,-41.57034198353698,0.0
0,194,-546,-1193,-168,-137,16921,0.0,-44.189733964132834,0.0
0,182,-528,-1131,-163,-160,16927,0.0,-38.247493877632806,0.0
0,182,-528,-1131,-175,-152,16918,0.0,-41.75771501230964,0.0
0,182,-528,-1131,-189,-145,16934,0.0,-45.137330846549276,0.0
0,182,-528,-1131,-177,-151,16906,0.0,-42.25116698180152,0.0
0,182,-528,-1131,-168,-152,16942,0.0,-40.64649165056543,0.0
0,182,-528,-1131,-166,-139,16910,0.0,-42.84329663839573,0.0
0,182,-528,-1131,-170,-152,16938,0.0,-40.96960691486407,0.0
0,185,-551,-1143,-188,-150,16905,0.0,-44.32569564173118,0.0
0,185,-551,-1143,-181,-158,16902,0.0,-41.84683191355732,0.0
0,185,-551,-1143,-165,-155,16933,0.0,-39.86362692701098,0.0
0,185,-551,-1143,-178,-162,16921,0.0,-40.6847868716291,0.0
