phase,raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z,delta_encoder,mag_orient,theta
0,2050,316,-1053,154,-17,16943,0.0,4.3173275729842135,0.0
0,2156,361,-1001,171,0,16946,0.0,-1.387061109205164,0.0
0,2156,361,-1001,152,0,16950,0.0,5.826059897499273,0.0
0,2156,361,-1001,169,-10,16928,0.0,4.178460557644405,0.0
0,2156,361,-1001,167,-22,16950,0.0,-4.372782861414157,0.0
0,2156,361,-1001,156,-1,16927,0.0,6.077137905909867,0.0
0,2156,361,-1001,178,-5,16952,0.0,5.692428228734325,0.0
0,2156,361,-1001,176,19,16944,0.0,2.834397511267597,0.0
0,2073,309,-1025,179,-12,16932,0.0,5.61830154906423,0.0
0,2073,309,-1025,177,-5,16950,0.0,21.35497866673281,0.0
0,2073,309,-1025,167,2,16948,0.0,5.699299437620577,0.0
0,2073,309,-1025,173,-13,16937,0.0,-2.6958652353134767,0.0
0,2073,309,-1025,158,-3,16947,0.0,14.094876929367475,0.0
0,2073,309,-1025,193,13,16920,0.0,15.012394811792062,0.0
0,2073,309,-1025,170,-10,16960,0.0,7.9570235803375775,0.0
0,2062,332,-1067,181,-6,16942,0.0,8.580608060380392,0.0
0,2062,332,-1067,192,-5,16940,0.0,8.96905833745067,0.0
0,2062,332,-1067,175,11,16950,0.0,13.979300057873575,0.0
0,2062,332,-1067,168,-1,16951,0.0,10.122427453235696,0.0
0,2062,332,-1067,190,-13,16968,0.0,6.597720939297956,0.0
0,2062,332,-1067,187,-1,16936,0.0,10.135640065343852,0.0
0,2062,332,-1067,191,-10,16969,0.0,7.495510540946752,0.0
0,2080,334,-1037,189,-13,16936,0.0,6.376463342031783,0.0
0,2080,334,-1037,172,-3,16954,0.0,9.270756374343494,0.0
0,2080,334,-1037,153,-8,16946,0.0,7.327410618931283,0.0
0,2080,334,-1037,175,-11,16935,0.0,6.7177667150866185,0.0
0,2080,334,-1037,166,-4,16946,0.0,8.902058812100716,0.0
0,2080,334,-1037,174,-16,16926,0.0,5.091664080714532,0.0
0,2080,334,-1037,181,-15,16942,0.0,5.594499655747525,0.0
0,2039,340,-1091,162,-6,16925,0.0,20.31159248563081,0.0
0,2039,340,-1091,179,15,16914,0.0,-7.994579994785205,0.0
0,2039,340,-1091,176,-13,16939,0.0,13.288466242195744,0.0
0,2039,340,-1091,156,-12,16949,0.0,7.077291084967056,0.0
0,2039,340,-1091,177,-24,16966,0.0,14.988151184764561,0.0
0,2039,340,-1091,188,5,16918,0.0,12.059177224240225,0.0
0,2039,340,-1091,189,-12,16945,0.0,15.583295738331019,0.0
0,2064,338,-1080,177,-15,16957,0.0,8.203946588983465,0.0
0,2064,338,-1080,184,9,16951,0.0,11.819072999010068,0.0
0,2064,338,-1080,180,-7,16925,0.0,10.916476681303577,0.0
0,2064,338,-1080,177,-6,16927,0.0,-0.436688941793404,0.0
0,2064,338,-1080,166,1,16956,0.0,5.588265434061436,0.0
0,2064,338,-1080,177,-5,16930,0.0,5.312701070209394,0.0
0,2064,338,-1080,185,-5,16928,0.0,-0.7743786666604083,0.0
0,2043,334,-1155,188,-3,16945,0.0,7.599271041581555,0.0
0,2043,334,-1155,177,1,16946,0.0,14.612206744512877,0.0
0,2043,334,-1155,187,-32,16942,0.0,2.477075570788594,0.0
0,2043,334,-1155,168,-5,16923,0.0,11.574986065948242,0.0
0,2043,334,-1155,188,-8,16958,0.0,5.7883981168066265,0.0
0,2043,334,-1155,180,-31,16950,0.0,12.933463493442538,0.0
0,2043,334,-1155,171,1,16945,0.0,8.298826619858168,0.0
0,2079,346,-1126,173,14,16947,0.0,1.9940819758863801,0.0
0,2079,346,-1126,166,-8,16931,0.0,9.478002524354029,0.0
0,2079,346,-1126,155,-6,16929,0.0,2.4542688215634887,0.0
0,2079,346,-1126,187,-31,16965,0.0,4.796546184170617,0.0
0,2079,346,-1126,174,-250,16970,0.0,3.587897699143659,0.0
0,2079,346,-1126,188,-7,16918,0.0,7.683429461889528,0.0
0,2079,346,-1126,199,9,16926,0.0,12.295445879336919,0.0
0,2019,312,-1122,189,-28,16951,0.0,3.267880631258034,0.0
0,2019,312,-1122,172,-17,16942,0.0,6.003256633213826,0.0
0,2019,312,-1122,178,11,16955,0.0,15.000992917002135,0.0
0,2019,312,-1122,171,2,16958,0.0,12.200237254647822,0.0
0,2019,312,-1122,164,0,16964,0.0,11.551712523655837,0.0
0,2019,312,-1122,174,-24,16947,0.0,3.8358939937655645,0.0
0,2019,312,-1122,163,-1,16928,0.0,11.207334476609175,0.0
0,2058,341,-1078,183,-13,16932,0.0,6.137338229681202,0.0
0,2058,341,-1078,173,7,16920,0.0,12.405956760455677,0.0
0,2058,341,-1078,166,-4,16951,0.0,8.78403318495375,0.0
0,2058,341,-1078,166,-11,16944,0.0,6.416083812985293,0.0
0,2058,341,-1078,165,-29,16947,0.0,0.3503333575150776,0.0
0,2058,341,-1078,186,-7,16961,0.0,8.005676504914419,0.0
0,2058,341,-1078,178,-33,16948,0.0,-0.1743241702056347,0.0
0,2289,454,-751,176,-26,16929,0.0,6.735111272642968,0.0
0,2289,454,-751,189,0,16956,0.0,4.646859738152269,0.0
0,2289,454,-751,150,-18,16976,0.0,-2.088357838910816,0.0
0,2289,454,-751,209,-6,16885,0.0,-1.0317017734513698,0.0
0,2289,454,-751,173,5,16983,0.0,-1.1953688655672854,0.0
0,2289,454,-751,176,-40,16964,0.0,7.229232499779281,0.0
0,2289,454,-751,186,5,16902,0.0,6.508012860040133,0.0
0,2008,303,-1090,189,17,16931,0.0,11.67060129392982,0.0
0,2008,303,-1090,163,-7,16968,0.0,19.70063752169463,0.0
0,2008,303,-1090,155,-3,17000,0.0,1.4545765740400207,0.0
0,2008,303,-1090,210,8,16918,0.0,7.434467715775248,0.0
0,2008,303,-1090,155,-30,16910,0.0,4.817361263571567,0.0
0,2008,303,-1090,179,-5,16974,0.0,17.83968350975517,0.0
0,2008,303,-1090,177,-11,16991,0.0,-3.940666128003113,0.0
0,2011,314,-1069,173,-15,16900,0.0,18.67208440318395,0.0
0,2011,314,-1069,179,12,16920,0.0,10.60745462221392,0.0
0,2011,314,-1069,160,-6,16968,0.0,3.91715387806773,0.0
0,2011,314,-1069,172,-6,16951,0.0,8.984413956330242,0.0
0,2011,314,-1069,189,-11,16923,0.0,5.14898591047869,0.0
0,2011,314,-1069,184,-23,16897,0.0,8.164380752534056,0.0
0,2011,314,-1069,152,0,16956,0.0,12.50843297380715,0.0
0,2026,311,-1137,182,-29,16984,0.0,1.0833622729536418,0.0
0,2026,311,-1137,194,-5,16918,0.0,11.801170039318688,0.0
0,2026,311,-1137,185,-5,16950,0.0,7.076930132233418,0.0
0,2026,311,-1137,163,-8,16998,0.0,5.6917997604255905,0.0
0,2026,311,-1137,146,-23,16952,0.0,2.745962473909707,0.0
0,2026,311,-1137,189,-22,16945,0.0,4.9969991907247255,0.0
0,2026,311,-1137,167,16,16934,0.0,16.89865020507956,0.0
0,2021,321,-1017,183,-37,16952,0.0,-0.01699500636489747,0.0
0,2021,321,-1017,181,-8,16929,0.0,8.708113221951812,0.0
0,2021,321,-1017,170,8,16981,0.0,13.849436346411041,0.0
0,2021,321,-1017,170,-46,16920,0.0,-3.6567042216288264,0.0
0,2021,321,-1017,161,-11,16925,0.0,7.372916509415374,0.0
0,2021,321,-1017,170,-1,16959,0.0,10.872736874097138,0.0
0,2021,321,-1017,159,-27,16944,0.0,1.7442819696659766,0.0
0,2060,305,-1092,163,1,16934,0.0,11.853347507641276,0.0
0,2060,305,-1092,187,2,16959,0.0,12.079208810367994,0.0
0,2060,305,-1092,184,-17,16947,0.0,6.3069790213602746,0.0
0,2060,305,-1092,174,12,16928,0.0,15.366173891135578,0.0
