phase,raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z,delta_encoder,mag_orient,theta
0,-1315,957,-1776,-324,-131,17041,0.0,30.583998353790925,0.0
0,-1171,1012,-1703,-286,-64,16934,0.0,26.73730260879527,0.0
0,-1171,1012,-1703,-319,-109,16887,0.0,36.76404410496149,0.0
0,-1171,1012,-1703,-316,-119,16948,0.0,20.922625650161752,0.0
0,-1171,1012,-1703,-344,-51,17013,0.0,26.351973864981066,0.0
0,-1171,1012,-1703,-326,-131,16962,0.0,30.788223691993775,0.0
0,-1171,1012,-1703,-298,-56,17120,0.0,26.632823358928235,0.0
0,-1171,1012,-1703,-324,-122,16872,0.0,32.86245740823575,0.0
0,-1289,984,-1784,-331,-77,16986,0.0,23.2720473794557,0.0
0,-1289,984,-1784,-313,-83,16982,0.0,25.00574917545826,0.0
0,-1289,984,-1784,-322,-134,16924,0.0,32.33114652269246,0.0
0,-1289,984,-1784,-295,-64,16917,0.0,22.56557724643873,0.0
0,-1289,984,-1784,-321,-101,16942,0.0,27.46477812938891,0.0
0,-1289,984,-1784,-318,-82,17001,0.0,24.615613086624286,0.0
0,-1289,984,-1784,-331,-105,16974,0.0,27.556461233918597,0.0
0,-1294,949,-1768,-311,-90,16919,0.0,24.617333427030815,0.0
0,-1294,949,-1768,-290,-84,16918,0.0,24.703016512947702,0.0
0,-1294,949,-1768,-347,-145,16980,0.0,30.689425859460556,0.0
0,-1294,949,-1768,-342,-44,16988,0.0,16.135472119968178,0.0
0,-1294,949,-1768,-312,-131,16921,0.0,30.930163331105625,0.0
0,-1294,949,-1768,-303,-72,16920,0.0,20.942932201818763,0.0
0,-1294,949,-1768,-335,-97,16958,0.0,24.528625641476474,0.0
0,-1323,964,-1779,-326,-111,16976,0.0,32.51833918919995,0.0
0,-1323,964,-1779,-321,-55,16931,0.0,17.97331971334465,0.0
0,-1323,964,-1779,-302,-111,16931,0.0,26.627733743343512,0.0
0,-1323,964,-1779,-320,-116,16942,0.0,21.575809575810116,0.0
0,-1323,964,-1779,-337,-89,16964,0.0,23.80744515093123,0.0
0,-1323,964,-1779,-306,-126,16951,0.0,29.64641319634573,0.0
0,-1323,964,-1779,-320,-66,16939,0.0,17.53518536421413,0.0
0,-1337,968,-1857,-349,-107,16945,0.0,33.54002369349465,0.0
0,-1337,968,-1857,-342,-76,16954,0.0,25.474740915798513,0.0
0,-1337,968,-1857,-304,-74,16942,0.0,30.2804515519706,0.0
0,-1337,968,-1857,-328,-116,16943,0.0,27.53446218031365,0.0
0,-1337,968,-1857,-324,-104,16940,0.0,20.771806192049514,0.0
0,-1337,968,-1857,-320,-89,16981,0.0,26.29678025611049,0.0
0,-1337,968,-1857,-328,-107,16982,0.0,23.422643530060874,0.0
0,-1332,985,-1843,-294,-71,16891,0.0,26.32143365979025,0.0
0,-1332,985,-1843,-306,-83,16931,0.0,27.391450828822258,0.0
0,-1332,985,-1843,-324,-103,16971,0.0,23.143553853277677,0.0
0,-1332,985,-1843,-312,-121,16968,0.0,29.739594029443452,0.0
0,-1332,985,-1843,-313,-93,16952,0.0,24.853610824577697,0.0
0,-1332,985,-1843,-364,-96,16904,0.0,23.04419133369493,0.0
0,-1332,985,-1843,-328,-107,16964,0.0,30.310701279554422,0.0
0,-1336,985,-1777,-296,-66,16956,0.0,20.0618594647494,0.0
0,-1336,985,-1777,-326,-62,16946,0.0,29.600532482168322,0.0
0,-1336,985,-1777,-324,-111,16938,0.0,28.28239025637525,0.0
0,-1336,985,-1777,-310,-94,16986,0.0,21.962071636963458,0.0
0,-1336,985,-1777,-318,-93,16973,0.0,28.40348781647407,0.0
0,-1336,985,-1777,-318,-117,16938,0.0,29.75428495286319,0.0
0,-1336,985,-1777,-321,-56,16944,0.0,19.91027603316333,0.0
0,-1003,1113,-1454,-317,-126,16930,0.0,41.00022178364915,0.0
0,-1003,1113,-1454,-329,-83,16936,0.0,33.78380300077697,0.0
0,-1003,1113,-1454,-324,-79,16967,0.0,33.374902276864155,0.0
0,-1003,1113,-1454,-309,-106,16933,0.0,38.435053635767254,0.0
0,-1003,1113,-1454,-328,-51,16947,0.0,28.7130498640735,0.0
0,-1003,1113,-1454,-304,-118,16968,0.0,40.63902034035185,0.0
0,-1003,1113,-1454,-326,-77,16948,0.0,32.96978239092865,0.0
0,-1217,980,-1784,-294,-77,16928,0.0,25.34070500961422,0.0
0,-1217,980,-1784,-325,-108,16959,0.0,31.53939495061241,0.0
0,-1217,980,-1784,-331,-48,16950,0.0,19.098509668220114,0.0
0,-1217,980,-1784,-324,-128,16995,0.0,31.76020624217572,0.0
0,-1217,980,-1784,-312,-97,16932,0.0,19.96014393634956,0.0
0,-1217,980,-1784,-296,-45,16921,0.0,28.697884860008646,0.0
0,-1217,980,-1784,-324,-142,16968,0.0,26.378231581131327,0.0
0,-1322,965,-1785,-323,-61,16929,0.0,15.020776144178106,0.0
0,-1322,965,-1785,-300,-65,16955,0.0,30.87309144109841,0.0
0,-1322,965,-1785,-307,-133,16975,0.0,33.542665314591154,0.0
0,-1322,965,-1785,-359,-46,16955,0.0,19.22094832234297,0.0
