phase,raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z,delta_encoder,mag_orient,theta
0,-734,-646,-1649,62,-186,16876,0.0,48.16870161659664,0.0
0,121,-504,-1196,82,-167,16860,0.0,33.57648460392176,0.0
0,121,-504,-1196,83,-179,16843,0.0,32.282164244233975,0.0
0,121,-504,-1196,84,-160,16863,0.0,35.11633656613092,0.0
0,121,-504,-1196,85,-175,16886,0.0,33.3034239914367,0.0
0,121,-504,-1196,80,-152,16892,0.0,35.21278609148765,0.0
0,121,-504,-1196,78,-156,16877,0.0,48.230652579013665,0.0
0,121,-504,-1196,74,-189,16863,0.0,34.18042073530707,0.0
0,58,-528,-1227,73,-159,16870,0.0,23.535187948956246,0.0
0,58,-528,-1227,82,-160,16841,0.0,29.33110062604322,0.0
0,58,-528,-1227,84,-174,16858,0.0,42.47925746644858,0.0
0,58,-528,-1227,81,-160,16861,0.0,43.086188053595116,0.0
0,58,-528,-1227,95,-164,16862,0.0,40.67325069175578,0.0
0,58,-528,-1227,84,-187,16891,0.0,41.9874398459349,0.0
0,58,-528,-1227,90,-167,16861,0.0,22.34098177229174,0.0
0,49,-496,-1216,86,-171,16876,0.0,44.213552448051416,0.0
0,49,-496,-1216,64,-159,16855,0.0,41.02934445827513,0.0
0,49,-496,-1216,73,-162,16860,0.0,42.81996913929942,0.0
0,49,-496,-1216,86,-171,16848,0.0,43.302322589298996,0.0
0,49,-496,-1216,77,-156,16880,0.0,47.7381077727837,0.0
0,49,-496,-1216,98,-167,16863,0.0,28.237668662604154,0.0
0,49,-496,-1216,96,-182,16884,0.0,36.89956974192531,0.0
0,48,-492,-1249,92,-156,16870,0.0,44.00101353428858,0.0
0,48,-492,-1249,70,-180,16885,0.0,33.60358413109519,0.0
0,48,-492,-1249,80,-177,16871,0.0,41.06978826229231,0.0
0,48,-492,-1249,90,-162,16866,0.0,36.12931288215044,0.0
0,48,-492,-1249,85,-173,16861,0.0,36.96044326089233,0.0
0,48,-492,-1249,107,-179,16878,0.0,34.462880309701106,0.0
0,48,-492,-1249,77,-154,16865,0.0,32.636032323144754,0.0
0,85,-507,-1258,58,-168,16870,0.0,33.74731147289516,0.0
0,85,-507,-1258,98,-155,16853,0.0,40.555058550897286,0.0
