raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z
-2230,1180,-1424,1977,-1245,16762
-1549,1208,-1128,1977,-1237,16766
-1640,1254,-1189,1973,-1241,16795
-1618,1226,-1203,1994,-1217,16755
-1657,1220,-1147,1957,-1253,16812
-1636,1218,-1190,1979,-1221,16788
-1585,1255,-1205,2007,-1303,16814
-1651,1245,-1223,1951,-1235,16806
-1635,1263,-1210,1971,-1233,16824
-1624,1248,-1168,1987,-1258,16831
-1296,1406,-774,1938,-1140,16677
-1557,1239,-1166,1773,-1287,16747
-1577,1249,-1180,2063,-1231,16677
-1641,1278,-1257,2678,-1507,16889
-1634,1245,-1158,2351,-1306,16536
-1662,1216,-1159,2404,-1261,16895
-1650,1287,-1129,1357,-1366,17789
-1653,1260,-1162,-536,-620,19697
-1533,1226,-1262,1990,317,18709
-1671,1194,-1246,2212,747,18361
-1719,1213,-1171,3802,-362,17759
-1940,1256,-1105,5080,-954,17195
-1791,1531,-591,4881,-1943,14586
-2380,1447,-844,4785,-3305,13542
-2596,1569,-633,7824,-3932,12799
-2743,1633,-332,11045,-3400,14607
-2871,1603,-192,12733,-3963,11464
-2962,1843,113,14897,-2534,11328
-2899,1930,362,14847,-2874,7353
-2954,1925,606,14084,-4395,5491
-2858,1923,849,13985,-3310,4419
-2794,1971,1169,14740,-4533,58
-2686,1875,1583,14029,-4699,-48
-2604,1885,1845,14375,-2254,-626
-2236,1987,2349,14891,-1994,-2462
-2358,1902,2168,16140,-3193,-3920
-2206,1932,2340,15990,-3136,-5877
-2043,1960,2486,15547,-3191,-5555
-2018,2014,2515,14480,-2867,-5135
-1921,2044,2636,14657,-2838,-6583
-1823,2039,2732,15218,-2800,-6220
-1828,2045,2763,15049,-3565,-6109
-1754,2116,2716,14407,-3941,-6657
-1813,2151,2692,14294,-4261,-5964
-1896,2159,2626,15029,-2808,-6448
-1935,2141,2535,15012,-2365,-5694
-1737,2310,2855,15080,-2870,-5551
-2015,2156,2466,15377,-2782,-3956
-2185,2151,2241,15749,-2727,-3613
-2261,2136,2203,15885,-2240,-2979
-2276,2107,2158,16082,-2080,-3114
-2384,2090,1970,15998,-2376,-3302
-2494,2058,1906,16097,-2117,-1758
-2642,2069,1778,16127,-1787,5
-2653,2010,1607,16352,-1571,307
-2718,2030,1407,16450,-1759,1291
-2813,2000,1338,16272,-1648,2038
-2854,2028,1149,16006,-1331,3138
-2648,2149,1409,15991,-1269,3507
-2965,1997,931,16246,-1476,3071
-2987,1960,759,15664,-1515,4973
-3001,1934,666,15691,-864,5265
-3033,1962,636,15802,-825,5744
-2994,1930,590,15804,-282,6227
-3054,1931,558,15949,-419,6338
-3001,1911,624,15799,-685,5858
-3000,1991,649,15679,-1493,3789
-2924,2014,814,15699,-1432,3891
-2959,2059,902,16063,-1105,4479
-2703,2206,1416,16405,-1501,2485
-2867,2068,1192,16358,-1133,1193
-2726,2031,1441,16083,-2109,-316
-2724,2088,1610,16397,-1530,-883
-2580,1995,1749,16351,-1708,-1261
-2598,1860,1882,16231,-2116,-1855
-2491,1815,1963,16541,-1377,-466
-2583,1715,2001,16510,-1241,-550
-2549,1612,2071,16291,-1684,-688
-2574,1533,2049,16343,-1290,-808
-2638,1457,2027,16122,-2723,-174
-2607,1422,2020,16116,-3187,565
-2361,1449,2381,15999,-3483,452
-2687,1255,2058,16042,-2897,662
-2681,1128,1991,16384,-2082,1606
-2739,1060,2071,16255,-2967,257
-2729,968,2003,16207,-3106,159
-2769,871,2016,15936,-3059,61
-2782,723,1965,16028,-1992,652
-2834,657,1874,16007,-3090,1123
-2816,615,1787,16255,-2997,1037
-2850,467,1789,16314,-2523,1539
-2847,355,1680,16417,-1816,1298
-2911,263,1733,16444,-1510,1775
-2656,342,1990,16269,-1684,2358
-2825,111,1606,16411,-1845,2921
-2892,95,1611,16544,-2248,-52
-2824,24,1621,16144,-2028,-984
-2770,-68,1642,15931,-1995,-872
-2775,-99,1625,15805,-2890,-2062
-2778,-112,1600,15921,-2532,-2307
-2732,-108,1593,15921,-2149,-2574
-2743,-132,1590,15855,-2709,-2991
-2700,-128,1615,15905,-2357,-3057
-2767,-198,1490,15968,-2522,-3881
-2792,-207,1428,15779,-1692,-3913
-2525,-147,1720,15575,-1400,-3474
-2824,-324,1271,15499,-797,-3624
-2762,-318,1227,15339,-1567,-3780
-2764,-391,1262,15652,-63,-4692
