mag_x, mag_y, mag_z
 -531.56,  -38.53, -853.70
 -503.44,  -25.51, -851.94
 -516.55,  -15.86, -723.18
 -533.87,  -40.00, -836.13
 -548.34,  -49.07, -851.82
 -533.58,  -53.47, -878.28
 -522.67,  -45.42, -875.33
 -540.57,  -36.56, -892.70
 -538.23,  -45.21, -906.42
 -517.85,  -57.81, -913.36
 -528.07,  -54.80, -887.42
 -531.14,  -45.99, -894.68
 -522.24,  -62.10, -897.15
 -532.93,  -55.78, -896.68
 -518.66,  -16.35, -732.91
 -530.15,  -58.46, -902.14
 -546.74,  -58.96, -888.87
 -526.93,  -73.09, -909.09
 -536.13,  -46.76, -880.52
 -548.54,  -48.50, -889.47
 -553.51,  -80.84, -878.75
 -622.28, -133.25, -797.84
 -697.56, -150.17, -739.53
 -785.93, -134.72, -643.95
 -879.37,  -29.42, -500.95
 -964.03,  127.19, -265.60
 -929.20,  302.21,  -31.50
 -934.60,  380.36, -163.24
 -915.91,  395.02, -164.00
 -898.44,  414.45, -212.48
 -783.19,  455.57, -449.14
 -573.44,  357.94, -769.10
 -295.42,  234.64, -939.03
  -65.88,  213.46, -990.47
  214.68,  101.55, -957.58
  419.59,  171.39, -889.57
  443.06,  203.47, -874.92
  426.15,  228.82, -895.43
  372.51,  191.13, -790.29
  235.69,  129.94, -975.47
  198.70,  175.52, -997.92
  118.77,  198.67,-1011.11
   21.63,  231.64, -999.50
  -98.55,  275.37, -981.54
 -205.39,  346.77, -971.05
 -327.17,  441.94, -875.82
 -506.79,  499.01, -750.81
 -621.17,  542.33, -620.42
 -695.11,  599.18, -467.96
 -761.11,  638.30, -253.83
 -782.36,  660.28,  199.59
 -774.85,  583.46,  257.22
 -696.90,  600.27,  430.54
 -624.52,  582.07,  552.50
 -537.55,  451.24,  728.25
 -382.00,  483.65,  768.69
 -278.84,  446.22,  840.38
  -87.95,  426.59,  865.94
  139.34,  395.02,  867.82
  356.75,  341.22,  839.71
  576.57,  329.58,  713.92
  737.08,  355.87,  547.51
  884.89,  421.00,  440.33
  901.91,  443.03,  -50.72
  859.51,  469.58, -219.20
  812.99,  497.79, -318.97
  743.54,  497.03, -501.63
  612.64,  548.00, -591.07
  440.23,  581.58, -698.32
  356.73,  547.40, -769.56
  525.00,  473.83, -716.05
  704.81,  379.36, -602.91
  783.52,  269.95, -558.21
  860.77,  110.52, -467.97
  939.43, -115.60, -225.37
  867.61, -297.67, -367.15
  807.95, -447.89, -314.18
  770.26, -529.66, -324.61
  709.43, -591.92, -325.09
  648.44, -661.44, -315.73
  589.10, -670.21, -392.52
  454.61, -713.39, -462.70
  387.21, -728.97, -522.74
  309.42, -761.74, -556.89
  211.70, -739.52, -645.70
   99.26, -762.86, -663.72
  -18.50, -743.39, -519.65
 -117.50, -722.14, -711.96
 -199.76, -619.25, -775.13
 -358.21, -417.60, -844.49
 -450.12, -230.22, -880.45
 -492.59, -102.92, -868.38
 -566.61,   24.54, -827.73
 -545.75,  110.90, -852.89
 -527.32,  146.71, -827.80
 -544.97,  167.62, -797.96
 -573.23,  210.28, -779.77
 -532.55,  339.94, -626.37
 -458.76,  421.41, -779.24
 -406.22,  508.95, -788.74
 -329.87,  558.55, -789.15
 -260.84,  600.90, -785.63
 -254.64,  636.71, -749.63
 -273.73,  708.00, -688.75
 -262.94,  762.22, -628.17
 -271.41,  788.54, -601.03
 -322.85,  817.68, -509.09
 -389.80,  869.22, -332.69
 -382.66,  901.11, -226.14
 -378.76,  955.76,   24.84
 -441.56,  905.68,  -62.30
 -512.79,  872.65,  -69.65
 -577.86,  819.51, -128.87
 -655.24,  754.13, -176.97
 -697.67,  708.12, -179.41
 -742.60,  631.78, -210.15
 -837.72,  532.84, -171.56
 -970.09,  334.22,  -12.48
 -976.22,  180.81,  151.98
 -954.05,   36.67,  306.33
 -868.16,  -87.27,  499.42
 -717.61,  -37.71,  767.60
 -705.63,  -30.44,  686.15
 -614.76,   54.12,  782.67
 -436.09,  117.91,  890.45
 -256.73,  223.53,  938.55
  -85.55,  347.98,  919.52
   80.02,  508.49,  838.10
