raw_mag_x,raw_mag_y,raw_mag_z
-2469,921,-1434
-2440,944,-1280
-2440,944,-1280
-2440,944,-1280
-2440,944,-1280
-2440,944,-1280
-2440,944,-1280
-2440,944,-1280
-2459,947,-1354
-2459,947,-1354
-2459,947,-1354
-2459,947,-1354
-2459,947,-1354
-2459,947,-1354
-2459,947,-1354
-2522,941,-1366
-2522,941,-1366
-2522,941,-1366
-2522,941,-1366
-2522,941,-1366
-2522,941,-1366
-2522,941,-1366
-2602,952,-1365
-2602,952,-1365
-2602,952,-1365
-2602,952,-1365
-2602,952,-1365
-2602,952,-1365
-2602,952,-1365
-2718,915,-1248
-2718,915,-1248
-2718,915,-1248
-2718,915,-1248
-2718,915,-1248
-2718,915,-1248
-2718,915,-1248
-2829,914,-1101
-2829,914,-1101
-2829,914,-1101
-2829,914,-1101
-2829,914,-1101
-2829,914,-1101
-2829,914,-1101
-3027,926,-963
-3027,926,-963
-3027,926,-963
-3027,926,-963
-3027,926,-963
-3027,926,-963
-3027,926,-963
-3304,921,-835
-3304,921,-835
-3304,921,-835
-3304,921,-835
-3304,921,-835
-3304,921,-835
-3304,921,-835
-3443,857,-535
-3443,857,-535
-3443,857,-535
-3443,857,-535
-3443,857,-535
-3443,857,-535
-3443,857,-535
-3448,823,243
-3448,823,243
-3448,823,243
-3448,823,243
-3448,823,243
-3448,823,243
-3448,823,243
-3713,712,85
-3713,712,85
-3713,712,85
-3713,712,85
-3713,712,85
-3713,712,85
-3713,712,85
-3793,593,372
-3793,593,372
-3793,593,372
-3793,593,372
-3793,593,372
-3793,593,372
-3793,593,372
-3869,332,648
-3869,332,648
-3869,332,648
-3869,332,648
-3869,332,648
-3869,332,648
-3869,332,648
-3873,-69,977
-3873,-69,977
-3873,-69,977
-3873,-69,977
-3873,-69,977
-3873,-69,977
-3873,-69,977
-3867,-635,1318
-3867,-635,1318
-3867,-635,1318
-3867,-635,1318
-3867,-635,1318
-3867,-635,1318
-3867,-635,1318
-3726,-1326,1484
-3726,-1326,1484
-3726,-1326,1484
-3726,-1326,1484
-3726,-1326,1484
-3726,-1326,1484
-3726,-1326,1484
-3587,-2092,1235
-3587,-2092,1235
-3587,-2092,1235
-3587,-2092,1235
-3587,-2092,1235
-3587,-2092,1235
-3587,-2092,1235
-3587,-2092,1235
-3460,-2527,788
-3460,-2527,788
-3460,-2527,788
-3460,-2527,788
-3460,-2527,788
-3460,-2527,788
-3460,-2527,390
-3403,-2731,390
-3403,-2731,390
-3403,-2731,390
-3403,-2731,390
-3403,-2731,390
-3403,-2731,390
-3403,-2731,390
-3492,-2690,191
-3492,-2690,191
-3492,-2690,191
-3492,-2690,191
-3492,-2690,191
-3492,-2690,191
-3492,-2690,191
-3589,-2547,-19
-3589,-2547,-19
-3589,-2547,-19
-3589,-2547,-19
-3589,-2547,-19
-3589,-2547,-19
-3589,-2547,-19
-3556,-2358,518
-3556,-2358,518
-3556,-2358,518
-3556,-2358,518
-3556,-2358,518
-3556,-2358,518
