raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z
-2282,446,-1335,2553,-393,16750
-1519,473,-972,2581,-431,16669
-1519,499,-1026,2579,-407,16704
-1558,453,-1020,2662,-563,16677
-1570,474,-983,2617,-431,16784
-1538,455,-1013,2693,-611,16831
-1549,454,-1016,2906,-46,16199
-1612,460,-1026,3121,-191,16831
-1584,461,-1012,3837,-347,16275
-1563,483,-1073,2614,-406,17018
-1498,450,-1052,3626,471,16194
-1452,446,-1039,3946,-220,20670
-1594,380,-1001,3337,-240,19884
-2048,330,-742,9117,282,14949
-2543,339,-179,11521,2939,14876
-2745,273,328,13129,1045,13151
-2849,357,1045,13065,2082,6128
-2680,549,1896,12423,-953,-1082
-2093,673,2907,12297,-2558,-5535
-1397,677,3472,11312,-752,-7852
-643,408,3962,8746,243,-9623
193,388,4311,3114,636,-15179
1195,418,4674,1160,-1423,-14263
1904,523,4652,-2753,-5719,-22099
2363,244,4694,-1748,-2128,-21127
1987,217,4636,5238,-1419,-9337
974,429,4566,10025,-1936,-13779
323,458,4380,11435,-2971,-10048
-341,682,4128,11787,-4729,-12080
-929,786,3829,13071,-609,-7881
-1658,882,3202,14485,-1167,-2648
-2292,806,2588,13950,-315,-344
-2679,640,1827,13535,365,5846
-2937,544,975,11869,1660,12208
-2931,492,304,11146,1304,11979
-2901,478,-178,8992,2304,15358
-2689,439,-496,7495,3040,16525
-2449,414,-758,7737,3432,15307
-2306,442,-994,4835,3958,16746
-2142,576,-1114,5088,2653,16874
-1992,879,-1226,4066,-3673,18666
-1917,1358,-1243,6362,-3415,18566
-2016,1726,-1007,4230,-6744,15170
-2144,2638,-70,4749,-10149,5340
-1608,3136,1248,2476,-11070,3690
-645,3252,2165,-885,-14065,5277
732,3442,2237,-7801,-19198,9160
1831,3315,2061,-7816,-18499,5337
1777,3356,1217,-3385,-14899,10247
1074,3363,487,557,-14970,3657
237,3507,457,6453,-9699,5447
-637,3446,553,8703,-13604,1523
-760,3521,956,7684,-11440,-4246
-999,3257,2016,10589,-5123,-10334
-1086,2540,2977,9423,-464,-14351
-1174,1621,3420,7321,2392,-14893
-1592,586,3294,9096,10217,-8733
-2328,-212,2331,13369,12494,2769
-2887,-164,901,12899,8864,7415
-3004,714,-94,9491,254,15693
-2702,1861,-258,5415,-7801,12841
-1755,2995,61,-978,-11983,9020
-227,3587,826,-5933,-10406,12214
1315,3527,1412,-7433,-16335,12441
2105,3250,1757,-7923,-19048,3107
2033,3260,1214,-3807,-15894,8519
1420,3414,900,-313,-14504,8650
671,3598,873,2301,-15363,494
17,3639,1259,3945,-11077,-817
-536,3475,1815,5766,-10738,-11583
-982,2742,2820,9354,-1486,-17232
-1482,1541,3301,12406,9057,-13610
-2141,364,2801,8168,9915,-493
-2734,-376,1434,9443,11458,9164
-2931,467,-204,8225,615,13049
-2617,1926,-401,4546,-8632,12842
-1669,3042,-17,-2093,-10398,10370
-66,3575,646,-8272,-13973,12943
1074,3497,788,-6010,-12286,14881
1681,3334,927,-6171,-17425,6476
1399,3348,587,-2436,-14190,9362
692,3471,402,528,-15577,4750
-252,3564,655,5777,-12968,-2101
-1004,3393,1367,6589,-9454,-7370
-1701,2570,2415,8713,799,-10764
-2100,1191,2845,12013,7422,-13024
-2419,208,2470,11241,10063,-4201
-2637,-544,1525,10350,14197,7346
-2767,-543,685,12467,11689,7443
-2857,-52,55,9756,6060,10371
-2863,820,-447,8899,2035,12336
-2513,1578,-742,7418,-575,13209
-2020,2159,-857,4794,-7833,14322
-1654,2530,-713,3515,-6018,16998
-1023,2925,-562,668,-15224,19837
-1257,3281,586,3742,-11461,12592
-2101,2784,1191,10977,-6568,3932
-2140,2460,1852,12735,-9118,2111
-1928,2825,1486,10204,-8742,6787
-1905,2801,1608,10891,-10220,-6860
-1657,2587,2300,8929,-6725,-11558
-1666,1410,3152,4894,8797,-14274
-2253,-252,2304,6768,18825,4789
-2995,187,326,6258,937,11118
-2632,1994,-258,4460,-4005,14512
