phase,x,y,theta,alpha,ref_x,ref_y,ref_theta,ref_alpha
0,0.0,0.0,0.0,90.75643068939142,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75382277113759,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75374214933468,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75428308215626,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75369356334274,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75509165906593,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75344442567206,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75448917306235,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75286168053849,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75639115727775,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75572520735146,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75504355440928,0,0,0.0,11.2
0,0.0,0.0,0.0,90.7533828783916,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75374261612338,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75198236400209,0,0,0.0,11.2
0,0.0,0.0,0.0,90.75080415750708,0,0,0.0,11.2
0,0.0,0.0,0.0,90.74906479581533,0,0,0.0,11.2
0,0.0,0.0,0.0,90.7487883719562,0,0,0.0,11.2
0,0.0,0.0,0.0,90.74910922913763,0,0,0.0,11.2
0,0.0,0.0,0.0,90.74625452598092,0,0,0.0,11.2
0,0.0,0.0,0.0,90.74289285027623,0,0,0.0,11.2
0,0.0,0.0,0.0,90.74231283684546,0,0,0.0,11.2
0,0.0,0.0,0.0,90.74217325269024,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73838277209445,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73892082384342,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73889809499885,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73622206096252,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73520538927643,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73714946531418,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73652113332774,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73539549982749,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73412470553383,0,0,0.0,11.2
0,0.0,0.0,0.0,90.7312879223147,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73114125936861,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73088254019305,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72801577449441,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72684395783737,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72762389885328,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72800362787983,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72687802055282,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72463050001969,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72351278709147,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72151495394765,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72155030750442,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72118252244277,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72137487718992,0,0,0.0,11.2
0,0.0,0.0,0.0,90.7198378802249,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71952177341689,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71972655102276,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72029811524251,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72048757970214,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71966203682783,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71818624648664,0,0,0.0,11.2
0,0.0,0.0,0.0,90.7163356666591,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71743669190008,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72278788918616,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72926367711341,0,0,0.0,11.2
0,0.0,0.0,0.0,90.7320620445205,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73322576018552,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73447566406857,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73191915164001,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72982195544583,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73258003170508,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73473074214766,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73433231398793,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73708014278895,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73604699864346,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73337392222969,0,0,0.0,11.2
0,0.0,0.0,0.0,90.7366128660521,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73725118960157,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73737655032689,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73814177940524,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73568957453165,0,0,0.0,11.2
0,0.0,0.0,0.0,90.734184492849,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73280740906834,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73286755930877,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73402888890999,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73207601727188,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73199662250263,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73194104028845,0,0,0.0,11.2
0,0.0,0.0,0.0,90.73045208749902,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72879067906992,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72924099825096,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72874187929827,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72809355446313,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72493811845597,0,0,0.0,11.2
0,0.0,0.0,0.0,90.7259803209783,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72642288014985,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72543727859166,0,0,0.0,11.2
0,0.0,0.0,0.0,90.72389371842918,0,0,0.0,11.2
0,0.0,0.0,0.0,90.7217435138364,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71770805081383,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71787441447051,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71643071647456,0,0,0.0,11.2
0,0.0,0.0,0.0,90.7157054424403,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71392516741118,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71319199393838,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71357096692076,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71241071953996,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71384720006897,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71061152491878,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71046326084918,0,0,0.0,11.2
0,0.0,0.0,0.0,90.70713576224226,0,0,0.0,11.2
0,0.0,0.0,0.0,90.71213444378297,0,0,0.0,11.2
