phase,x,y,theta,alpha,ref_x,ref_y,ref_theta,ref_alpha
0,0.0,0.0,0.0,90.07086495191388,0,0,0.0,11.2
0,0.0,0.0,0.0,90.0704510404449,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07060280933163,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07175753645487,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07184970778009,0,0,0.0,11.2
0,0.0,0.0,0.0,90.0698969811501,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07163056279389,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07186367408963,0,0,0.0,11.2
0,0.0,0.0,0.0,90.0715916606666,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07087661648139,0,0,0.0,11.2
0,0.0,0.0,0.0,90.0702557915335,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07060356025579,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06989883112361,0,0,0.0,11.2
0,0.0,0.0,0.0,90.0698109831289,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07026020524503,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06864686379467,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06750217212087,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06733446203027,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06875377682653,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06702149430218,0,0,0.0,11.2
0,0.0,0.0,0.0,90.0667814264488,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06872224552605,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06802596797537,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07041386007056,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07072337335242,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07352745952927,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07173451997525,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07105201869076,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07346014658485,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07585421038905,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07517396437144,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07702849128803,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07635380118458,0,0,0.0,11.2
0,0.0,0.0,0.0,90.0766413726177,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07638636768588,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07722968934695,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07803152918851,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07670351687042,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07796027559685,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07766271870038,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07734132699717,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07707634039063,0,0,0.0,11.2
0,0.0,0.0,0.0,90.0762475123096,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07441785744213,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07269333434057,0,0,0.0,11.2
0,0.0,0.0,0.0,90.0720116342828,0,0,0.0,11.2
0,0.0,0.0,0.0,90.07129296909977,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06998154978598,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06869629705687,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06840289323192,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06867535449896,0,0,0.0,11.2
0,0.0,0.0,0.0,90.0684254324866,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06867749341451,0,0,0.0,11.2
0,0.0,0.0,0.0,90.0679714739789,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06922356535,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06845162397379,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06872665637829,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06750029900152,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06786826227786,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06727365697773,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06506611086903,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06386287354053,0,0,0.0,11.2
0,0.0,0.0,0.0,90.0642805509721,0,0,0.0,11.2
0,0.0,0.0,0.0,90.06252534680569,0,0,0.0,11.2
0,0.0,0.0,0.0,90.05813615638681,0,0,0.0,11.2
0,0.0,0.0,0.0,90.05479947203949,0,0,0.0,11.2
0,0.0,0.0,0.0,90.05468680338734,0,0,0.0,11.2
0,0.0,0.0,0.0,90.0546554112146,0,0,0.0,11.2
0,0.0,0.0,0.0,90.05405781611563,0,0,0.0,11.2
0,0.0,0.0,0.0,90.05126746162007,0,0,0.0,11.2
0,0.0,0.0,0.0,90.05114571956098,0,0,0.0,11.2
0,0.0,0.0,0.0,90.05207762964511,0,0,0.0,11.2
0,0.0,0.0,0.0,90.05501843231168,0,0,0.0,11.2
0,0.0,0.0,0.0,90.05437354731141,0,0,0.0,11.2
