phase,x,y,theta,alpha,ref_x,ref_y,ref_theta,ref_alpha
0,0.0,0.0,0.0,89.87516510072119,0,0,0.0,11.2
0,0.0,0.0,0.0,89.87468199059764,0,0,0.0,11.2
0,0.0,0.0,0.0,89.875445714026,0,0,0.0,11.2
0,0.0,0.0,0.0,89.87512440476989,0,0,0.0,11.2
0,0.0,0.0,0.0,89.8753506330748,0,0,0.0,11.2
0,0.0,0.0,0.0,89.87675047329387,0,0,0.0,11.2
0,0.0,0.0,0.0,89.87766092011695,0,0,0.0,11.2
0,0.0,0.0,0.0,89.87795431108174,0,0,0.0,11.2
0,0.0,0.0,0.0,89.87726871011968,0,0,0.0,11.2
0,0.0,0.0,0.0,89.87825204663254,0,0,0.0,11.2
0,0.0,0.0,0.0,89.8771739628334,0,0,0.0,11.2
0,0.0,0.0,0.0,89.87760166045452,0,0,0.0,11.2
0,0.0,0.0,0.0,89.87692896972193,0,0,0.0,11.2
0,0.0,0.0,0.0,89.87898763390498,0,0,0.0,11.2
0,0.0,0.0,0.0,89.87948379703364,0,0,0.0,11.2
0,0.0,0.0,0.0,89.88093091822257,0,0,0.0,11.2
0,0.0,0.0,0.0,89.88234374577198,0,0,0.0,11.2
0,0.0,0.0,0.0,89.88327672385131,0,0,0.0,11.2
0,0.0,0.0,0.0,89.8841203078666,0,0,0.0,11.2
0,0.0,0.0,0.0,89.88391303953871,0,0,0.0,11.2
0,0.0,0.0,0.0,89.88521670775607,0,0,0.0,11.2
0,0.0,0.0,0.0,89.88667774928132,0,0,0.0,11.2
0,0.0,0.0,0.0,89.88862756068598,0,0,0.0,11.2
0,0.0,0.0,0.0,89.8878566678315,0,0,0.0,11.2
0,0.0,0.0,0.0,89.88758937480625,0,0,0.0,11.2
0,0.0,0.0,0.0,89.88780069597574,0,0,0.0,11.2
0,0.0,0.0,0.0,89.88855301758782,0,0,0.0,11.2
0,0.0,0.0,0.0,89.88979747488273,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89001399301085,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89169022344676,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89197462188993,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89166355968122,0,0,0.0,11.2
0,0.0,0.0,0.0,89.890835958628,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89267797136341,0,0,0.0,11.2
0,0.0,0.0,0.0,89.891377771474,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89276178614713,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89149758763456,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89068200114701,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89157353533885,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89192010172799,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89473094244542,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89502637745402,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89516874523211,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89587946001551,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89659351825081,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89664790922774,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89687549404,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89610859266298,0,0,0.0,11.2
0,0.0,0.0,0.0,89.8967440639995,0,0,0.0,11.2
0,0.0,0.0,0.0,89.89700389651802,0,0,0.0,11.2
0,0.0,0.0,0.0,89.8996558610475,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90021991256111,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90095539642844,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90048744125352,0,0,0.0,11.2
0,0.0,0.0,0.0,89.901206568651,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90244472356042,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90405646345557,0,0,0.0,11.2
0,0.0,0.0,0.0,89.9063521067164,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90642015547766,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90709749520538,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90796475929699,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90599896062433,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90778973101155,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90746469340998,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90661665946395,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90687585893336,0,0,0.0,11.2
0,0.0,0.0,0.0,89.9080848783156,0,0,0.0,11.2
0,0.0,0.0,0.0,89.90480455200601,0,0,0.0,11.2
0,0.0,0.0,0.0,89.8813751071532,0,0,0.0,11.2
0,0.0,0.0,0.0,89.82104925471155,0,0,0.0,11.2
0,0.0,0.0,0.0,89.75149534306759,0,0,0.0,11.2
0,0.0,0.0,0.0,89.55288332733997,0,0,0.0,11.2
0,0.0,0.0,0.0,89.12853627950824,0,0,0.0,11.2
0,0.0,0.0,0.0,88.51743251659013,0,0,0.0,11.2
0,0.0,0.0,0.0,87.77620936397675,0,0,0.0,11.2
0,0.0,0.0,0.0,86.8928755681693,0,0,0.0,11.2
0,0.0,0.0,0.0,85.83828860840909,0,0,0.0,11.2
0,0.0,0.0,0.0,84.72052321738417,0,0,0.0,11.2
0,0.0,0.0,0.0,83.5653255944759,0,0,0.0,11.2
0,0.0,0.0,0.0,82.30273788921554,0,0,0.0,11.2
0,0.0,0.0,0.0,80.87205539163419,0,0,0.0,11.2
0,0.0,0.0,0.0,79.33702818836987,0,0,0.0,11.2
0,0.0,0.0,0.0,77.74210445215633,0,0,0.0,11.2
0,0.0,0.0,0.0,76.06783665754926,0,0,0.0,11.2
0,0.0,0.0,0.0,74.33082912315041,0,0,0.0,11.2
0,0.0,0.0,0.0,72.5534393108452,0,0,0.0,11.2
0,0.0,0.0,0.0,70.72954219201182,0,0,0.0,11.2
0,0.0,0.0,0.0,68.87286582945028,0,0,0.0,11.2
0,0.0,0.0,0.0,66.96860904220134,0,0,0.0,11.2
0,0.0,0.0,0.0,65.03841145965525,0,0,0.0,11.2
0,0.0,0.0,0.0,63.08933511148493,0,0,0.0,11.2
0,0.0,0.0,0.0,61.10435373727761,0,0,0.0,11.2
0,0.0,0.0,0.0,59.07255370834888,0,0,0.0,11.2
0,0.0,0.0,0.0,56.986897191018414,0,0,0.0,11.2
0,0.0,0.0,0.0,54.851988809440186,0,0,0.0,11.2
0,0.0,0.0,0.0,52.67603471293549,0,0,0.0,11.2
0,0.0,0.0,0.0,50.47766366229194,0,0,0.0,11.2
0,0.0,0.0,0.0,48.29225393127937,0,0,0.0,11.2
0,0.0,0.0,0.0,46.13073728443418,0,0,0.0,11.2
0,0.0,0.0,0.0,44.03517182561284,0,0,0.0,11.2
0,0.0,0.0,0.0,42.01814763758767,0,0,0.0,11.2
0,0.0,0.0,0.0,40.08136561434252,0,0,0.0,11.2
0,0.0,0.0,0.0,38.19409798435682,0,0,0.0,11.2
0,0.0,0.0,0.0,36.29183601608942,0,0,0.0,11.2
0,0.0,0.0,0.0,34.33695806375204,0,0,0.0,11.2
0,0.0,0.0,0.0,32.32911664316217,0,0,0.0,11.2
0,0.0,0.0,0.0,30.27852259581101,0,0,0.0,11.2
1,0.0,0.0,0.0,28.275147109293783,0,0,0.0,11.2
1,0.0,0.0,0.0,26.362131901868555,0,0,0.0,11.2
1,0.0,0.0,0.0,24.577809288012514,0,0,0.0,11.2
1,0.0,0.0,0.0,22.90305359685241,0,0,0.0,11.2
1,0.0,0.0,0.0,21.342586035945455,0,0,0.0,11.2
1,0.0,0.0,0.0,19.88311584139749,0,0,0.0,11.2
1,-0.12417350465849462,0.00014826039653970113,-0.13681970203709334,18.568329896286652,0,0,0.0,11.2
1,-0.6208533618287716,0.0037064676422726706,-0.6840985101854667,17.395522625341798,0,0,0.0,11.2
1,-1.2416182170076888,0.014825342188232504,-1.3681970203709335,16.386109334081233,0,0,0.0,11.2
1,-2.482924901178186,0.04743886317207878,-1.6418364244451205,15.624842922755054,0,0,0.0,11.2
1,-3.3518123222256,0.07130579261793676,-1.505016722408027,15.387602490406177,0,0,0.0,11.2
1,-6.206527305248944,0.15654272000933583,-1.9154758285193072,15.780515729517678,0,0,0.0,11.2
1,-8.22434867366136,0.15654272000933583,-1.9154758285193068,16.288978310040523,0,0,0.0,11.2
1,-10.830431115082805,0.24681528225978985,-2.0522955305564006,17.21406922859826,0,0,0.0,11.2
1,-14.429306867521937,0.37147739203422725,-1.915475828519308,18.35073632475696,0,0,0.0,11.2
1,-17.03559744512824,0.45552649709204496,-1.778656126482215,19.764898750396927,0,0,0.0,11.2
1,-19.642254753593804,0.527127149332678,-1.3681970203709346,21.28127957519664,0,0,0.0,11.2
1,-22.000945961223024,0.5806445746028128,-1.2313773183338397,22.497616806744887,0,0,0.0,11.2
1,-23.490685320407923,0.6126663702581245,-1.2313773183338397,23.069985368945353,0,0,0.0,11.2
1,-25.849685939552256,0.6492850176620872,-0.5472788081483734,23.26359877635945,0,0,0.0,11.2
1,-26.470541661594694,0.6529914993947377,-0.13681970203709296,22.982355520155956,0,0,0.0,11.2
1,-26.470541661594694,0.6529914993947377,-0.13681970203709296,22.382047392330406,0,0,0.0,11.2
1,-26.470541661594694,0.6529914993947377,-0.13681970203709296,22.050099733327595,0,0,0.0,11.2
1,-26.470541661594694,0.6529914993947377,-0.13681970203709296,21.851291767942367,0,0,0.0,11.2
1,-26.470541661594694,0.6529914993947377,-0.13681970203709296,21.67082972198534,0,0,0.0,11.2
1,-26.470541661594694,0.6529914993947377,-0.13681970203709296,21.69412942179124,0,0,0.0,11.2
1,-26.470541661594694,0.6529914993947377,-0.13681970203709296,21.68813690958681,0,0,0.0,11.2
1,-26.346368865013623,0.6525467190505401,-0.27363940407418585,21.79662365671412,0,0,0.0,11.2
1,-26.09802445197891,0.6513606398235403,-0.27363940407418585,21.997006315569987,0,0,0.0,11.2
1,-25.97385165539784,0.6509158594793427,-0.13681970203709298,22.207449241232506,0,0,0.0,11.2
1,-25.725505118132872,0.6503228181749864,-0.13681970203709298,22.411712371632206,0,0,0.0,11.2
1,-24.85629058552341,0.6492849953992085,-1.4908850069360235e-16,22.382868164383176,0,0,0.0,11.2
1,-22.869512622778878,0.6492849953992085,-1.4908850069360235e-16,21.891937017081275,0,0,0.0,11.2
1,-20.75856304358447,0.6467645686580336,-0.13681970203709298,21.130251523443228,0,0,0.0,11.2
1,-19.88935346751698,0.6436511062486504,-0.27363940407418585,19.93521953462605,0,0,0.0,11.2
1,-14.550085599071679,0.5990253206599767,-0.6840985101854663,18.244044757688275,0,0,0.0,11.2
1,-10.701175220223961,0.5392788793455136,-1.0945576162967467,16.460190818421555,0,0,0.0,11.2
1,-5.611377552020183,0.42379412853656984,-1.5050167224080266,14.431771102464127,0,0,0.0,11.2
1,-1.3912116493826359,0.30283025864302593,-1.7786561264822138,12.32206164969445,0,0,0.0,11.2
1,2.704387829712976,0.17075309355217028,-1.9154758285193072,10.148710579668105,0,0,0.0,11.2
1,7.668934905414794,0.016587118649729837,-1.6418364244451205,8.002307249886682,0,0,0.0,11.2
1,10.77189187193933,-0.07606189157615718,-1.7786561264822138,6.3610083335237215,0,0,0.0,11.2
1,11.888956379888162,-0.10941553525747641,-1.64183642444512,5.42847612558901,0,0,0.0,11.2
1,15.364813338308243,-0.1924331907274275,-1.0945576162967467,5.042048083223162,0,0,0.0,11.2
1,16.730555730802596,-0.2136335408712693,-0.6840985101854663,5.218047189401621,0,0,0.0,11.2
1,17.227227091120493,-0.2183777991632043,-0.4104591061112788,5.7017243122696355,0,0,0.0,11.2
1,17.475571268131823,-0.21956387726296975,-0.13681970203709112,6.279564711808859,0,0,0.0,11.2
1,17.599744772790316,-0.21971213765950945,1.714517757976427e-15,6.84271239036846,0,0,0.0,11.2
1,17.599744772790316,-0.21971213765950945,1.714517757976427e-15,7.505701296714971,0,0,0.0,11.2
1,17.72391827744881,-0.21986039805604915,-0.13681970203709112,8.015659340700008,0,0,0.0,11.2
1,17.848091782107304,-0.22000865845258885,1.714517757976427e-15,8.438410297953016,0,0,0.0,11.2
1,18.09643902745037,-0.22000865845258885,1.714517757976427e-15,8.857583414072298,0,0,0.0,11.2
1,18.593133518136504,-0.22000865845258882,1.714517757976427e-15,9.203221469479988,0,0,0.0,11.2
1,19.338175254165705,-0.2200086584525888,1.714517757976427e-15,9.523006476957303,0,0,0.0,11.2
1,20.207389786775167,-0.2210464812283667,-0.13681970203709112,9.315116626171616,0,0,0.0,11.2
1,21.44912247310001,-0.22401168775014854,-0.13681970203709112,8.886720940389546,0,0,0.0,11.2
1,22.815031024343455,-0.22564255211208523,3.677516350442191e-15,8.37338359154505,0,0,0.0,11.2
1,23.684245556952916,-0.22668037488786313,-0.13681970203708915,7.674384967241325,0,0,0.0,11.2
1,25.67101785507267,-0.231424705322714,-0.13681970203708915,6.893183859282696,0,0,0.0,11.2
1,26.664404004132546,-0.23379687054013945,-0.13681970203708915,5.982895960258546,0,0,0.0,11.2
1,27.409445032083514,-0.23379687054013945,0.1368197020370965,5.328610751539423,0,0,0.0,11.2
1,28.03031255537599,-0.23305556855744095,3.677516350442191e-15,5.087725249123411,0,0,0.0,11.2
1,28.278658856615554,-0.23364860929817824,-0.2736394040741839,5.209840878854835,0,0,0.0,11.2
1,28.278658856615554,-0.23364860929817824,-0.2736394040741839,5.194200955040461,0,0,0.0,11.2
1,28.278658856615554,-0.23364860929817824,-0.2736394040741839,5.158402106378611,0,0,0.0,11.2
