command,delta_left,delta_right
0,0,0
100,1948,1971
100,2010,2027
100,2075,2095
120,2494,2498
120,2533,2517
120,2540,2546
140,2933,2942
140,2953,2949
140,2964,2956
160,3314,3279
160,3359,3265
160,3431,3404
180,3731,3736
180,3744,3743
180,3749,3725
200,4110,4058
200,4164,4167
200,4205,4209
-100,-2051,-2253
-100,-2066,-2299
-100,-2080,-2305
-120,-2485,-2720
-120,-2462,-2741
-120,-2481,-2741
-140,-2929,-3029
-140,-2939,-3041
-140,-2948,-3051
-160,-3302,-3215
-160,-3360,-3205
-160,-3382,-3220
-180,-3732,-3586
-180,-3739,-3598
-180,-3761,-3630
-200,-4094,-4241
-200,-4108,-4286
-200,-4139,-4358
0,0,0
0,0,0
0,0,0
