left_motor,right_motor,left_encoder,right_encoder
0,0,0,0
-78,78,-178,193
39,-39,42,-59
-90,90,-234,232
-36,36,-96,99
13,-13,-2,3
53,-53,110,-122
22,-22,25,-31
13,-13,0,0
29,-29,19,-15
-56,56,-122,126
30,-30,23,-30
-21,21,-6,0
100,-100,271,-297
50,-50,141,-167
-46,46,-65,68
-46,46,-103,107
-10,10,-8,7
44,-44,85,-91
-39,39,-60,61
-11,11,-5,6
-79,79,-206,210
-87,87,-269,273
11,-11,-17,17
-40,40,-70,80
-90,90,-265,267
85,-85,200,-211
-81,81,-187,181
-77,77,-239,240
-42,42,-114,121
-76,76,-218,225
-38,38,-101,109
-55,55,-142,146
59,-59,126,-122
-75,75,-183,183
85,-85,206,-210
72,-72,229,-244
-80,80,-189,192
60,-60,128,-129
95,-95,300,-316
2,-2,25,-30
71,-71,193,-196
-87,87,-207,213
-54,54,-153,162
25,-25,-5,3
-66,66,-165,171
72,-72,174,-179
-54,54,-101,103
8,-8,-7,7
-75,75,-197,200
60,-60,129,-131
-97,97,-251,254
-21,21,-40,38
-64,64,-145,154
-52,52,-141,148
16,-16,-5,4
-13,13,0,0
29,-29,37,-26
36,-36,70,-65
-21,21,-3,1
47,-47,94,-99
-41,41,-55,70
-41,41,-85,95
-62,62,-164,171
13,-13,-9,9
33,-33,54,-50
-51,51,-111,113
-87,87,-258,261
32,-32,23,-32
1,-1,2,-3
-85,85,-233,235
11,-11,-18,17
60,-60,147,-155
84,-84,252,-273
14,-14,29,-37
-94,94,-262,260
86,-86,200,-219
-45,45,-61,59
-1,1,-5,5
-25,25,-3,0
14,-14,0,0
-41,41,-65,68
97,-97,259,-283
-99,99,-232,233
-4,4,-25,26
94,-94,263,-281
60,-60,191,-211
25,-25,51,-60
-69,69,-159,167
42,-42,69,-73
20,-20,16,-19
-90,90,-239,245
-79,79,-245,253
-18,18,-30,31
1,-1,0,0
-35,35,-56,58
14,-14,-2,2
38,-38,68,-70
68,-68,185,-195
84,-84,262,-282
-36,36,-38,31
39,-39,72,-77
-7,7,3,-4
-13,13,0,0
62,-62,161,-161
67,-67,197,-206
-76,76,-169,167
-74,74,-217,216
2,-2,-14,14
19,-19,1,0
-4,4,0,0
18,-18,0,0
-93,93,-257,261
9,-9,-19,18
35,-35,61,-56
81,-81,237,-239
-64,64,-125,124
-47,47,-119,122
-64,64,-174,176
6,-6,-10,10
67,-67,174,-178
51,-51,153,-156
31,-31,75,-74
86,-86,256,-257
65,-65,209,-221
55,-55,171,-176
25,-25,56,-56
-7,7,1,-1
-86,86,-232,233
-55,55,-154,162
36,-36,50,-53
97,-97,291,-305
54,-54,172,-190
-93,93,-237,244
94,-94,235,-251
23,-23,51,-60
-24,24,-5,2
0,0,0,0
29,-29,29,-36
-14,14,1,-1
61,-61,147,-160
-3,3,10,-13
32,-32,43,-57
-39,39,-51,63
64,-64,155,-168
-75,75,-168,169
46,-46,78,-85
59,-59,163,-175
-51,51,-92,94
-44,44,-102,107
-68,68,-183,190
-86,86,-261,261
100,-100,259,-269
-54,54,-85,87
-3,3,-8,7
-47,47,-94,96
-91,91,-260,268
95,-95,236,-250
20,-20,39,-49
-25,25,0,1
83,-83,222,-237
-57,57,-98,104
-92,92,-265,274
90,-90,217,-232
-4,4,20,-24
-70,70,-167,178
-27,27,-45,55
4,-4,0,1
42,-42,76,-85
80,-80,228,-245
-100,100,-242,249
96,-96,236,-253
-2,2,25,-30
-68,68,-155,172
82,-82,203,-218
-67,67,-132,137
94,-94,245,-260
29,-29,83,-95
5,-5,1,-2
-80,80,-201,212
22,-22,-6,6
96,-96,274,-290
-42,42,-50,47
-78,78,-212,217
-37,37,-91,94
-10,10,-3,5
-23,23,-7,0
-56,56,-124,129
-87,87,-254,262
-89,89,-268,288
58,-58,101,-123
-29,29,-8,21
21,-21,2,-2
100,-100,279,-308
61,-61,194,-216
34,-34,81,-92
67,-67,185,-196
79,-79,249,-264
-13,13,15,-17
54,-54,128,-138
-65,65,-127,141
-18,18,-18,19
-52,52,-107,110
53,-53,113,-117
-22,22,7,-6
-7,7,0,0
38,-38,71,-72
42,-42,94,-102
-58,58,-112,124
-44,44,-101,104
53,-53,118,-117
-51,51,-93,95
