command,delta_left,delta_right
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
100,0,1
100,5,4
100,6,6
100,8,8
100,4,5
100,10,9
100,11,11
100,11,10
100,11,11
100,10,11
100,12,11
100,6,6
100,11,12
100,12,12
100,12,11
100,11,12
100,12,12
100,6,6
100,12,12
100,12,12
100,11,11
100,12,12
100,11,11
100,7,6
100,12,13
100,12,12
100,12,12
100,11,11
100,12,12
100,11,11
100,6,6
100,13,12
100,12,12
100,11,12
100,12,12
100,11,11
100,12,12
100,6,6
100,12,12
100,12,12
100,12,12
100,12,12
100,11,12
100,12,12
100,7,6
100,12,13
100,12,12
100,12,12
100,12,11
100,12,12
100,6,6
100,13,13
100,12,12
100,13,12
100,12,13
100,11,11
100,12,12
100,7,7
100,12,12
100,13,13
100,12,12
100,12,12
100,12,12
100,12,12
100,7,7
100,12,12
100,13,13
100,12,12
100,12,12
100,12,12
100,12,12
100,7,7
100,12,12
100,13,13
100,12,12
100,12,12
100,12,12
100,6,6
100,13,13
100,12,13
100,13,12
100,11,12
