iteration,motor,encoder_left,encoder_right
0,0,0,0
1,20,205.3831718987161,205.87986638940225
2,40,546.3639397547466,545.8672452640606
3,60,825.5062435203536,825.7545907656965
4,80,1113.0923536276248,1113.092353627625
5,100,1394.9664770920053,1394.9664770920053
6,80,1121.0394654786032,1121.0394654786023
7,60,826.9963269924119,826.9963269924119
8,40,576.9106509319436,575.9172619505716
9,20,284.60594316315473,284.60594316315473
10,0,2.235125208087993,1.9867779627447817
11,-20,-1.7384307174015703,-265.7315525170816
12,-40,-471.36307166114057,-581.6292485934619
13,-60,-823.0227710669233,-891.3182635362664
14,-80,-1090.4927543014055,-1221.868447087888
15,-100,-1367.8966273496112,-1548.1967274686776
16,-80,-1115.0791315903693,-1238.2593652805303
17,-60,-855.0595657161784,-890.573221800237
18,-40,-549.0957594535204,-564.7416359101336
