left_motor,right_motor,left_encoder,right_encoder,increasing
0,0,0,0,True
1,-1,0,0,True
2,-2,0,0,True
3,-3,0,0,True
4,-4,0,0,True
5,-5,0,0,True
6,-6,0,0,True
7,-7,0,0,True
8,-8,0,0,True
9,-9,0,0,True
10,-10,0,0,True
11,-11,0,0,True
12,-12,0,0,True
13,-13,0,0,True
14,-14,0,0,True
15,-15,0,0,True
16,-16,0,0,True
17,-17,2,0,True
18,-18,0,0,True
19,-19,0,0,True
20,-20,0,0,True
21,-21,0,0,True
22,-22,0,0,True
23,-23,0,0,True
24,-24,1,0,True
25,-25,0,0,True
26,-26,0,0,True
27,-27,0,0,True
28,-28,0,0,True
29,-29,0,0,True
30,-30,0,0,True
31,-31,0,0,True
32,-32,0,0,True
33,-33,27,-32,True
34,-34,61,-75,True
35,-35,60,-79,True
36,-36,71,-82,True
37,-37,83,-85,True
38,-38,89,-78,True
39,-39,94,-78,True
40,-40,99,-90,True
41,-41,103,-100,True
42,-42,92,-108,True
43,-43,97,-113,True
44,-44,113,-119,True
45,-45,120,-124,True
46,-46,124,-128,True
47,-47,129,-134,True
48,-48,132,-139,True
49,-49,138,-134,True
50,-50,146,-138,True
51,-51,149,-155,True
52,-52,140,-160,True
53,-53,154,-165,True
54,-54,161,-159,True
55,-55,164,-170,True
56,-56,167,-176,True
57,-57,166,-174,True
58,-58,173,-181,True
59,-59,172,-189,True
60,-60,171,-189,True
61,-61,177,-192,True
62,-62,183,-205,True
63,-63,178,-209,True
64,-64,191,-212,True
65,-65,197,-215,True
66,-66,201,-213,True
67,-67,207,-220,True
68,-68,212,-229,True
69,-69,209,-226,True
70,-70,218,-233,True
71,-71,222,-240,True
72,-72,222,-242,True
73,-73,227,-251,True
74,-74,230,-248,True
75,-75,231,-253,True
76,-76,233,-264,True
77,-77,238,-272,True
78,-78,243,-276,True
79,-79,256,-272,True
80,-80,256,-284,True
81,-81,260,-281,True
82,-82,264,-290,True
83,-83,269,-295,True
84,-84,274,-303,True
85,-85,274,-301,True
86,-86,282,-307,True
87,-87,282,-315,True
88,-88,290,-318,True
89,-89,288,-323,True
90,-90,299,-328,True
91,-91,303,-325,True
92,-92,310,-337,True
93,-93,309,-340,True
94,-94,312,-346,True
95,-95,313,-343,True
96,-96,322,-358,True
97,-97,322,-358,True
98,-98,327,-367,True
99,-99,325,-373,True
100,-100,335,-368,True
99,-99,331,-373,False
98,-98,329,-368,False
97,-97,325,-356,False
96,-96,320,-356,False
95,-95,315,-347,False
94,-94,312,-348,False
93,-93,312,-345,False
92,-92,303,-340,False
91,-91,296,-328,False
90,-90,297,-334,False
89,-89,290,-327,False
88,-88,291,-319,False
87,-87,288,-318,False
86,-86,284,-308,False
85,-85,275,-305,False
84,-84,277,-304,False
83,-83,272,-300,False
82,-82,269,-293,False
81,-81,262,-283,False
80,-80,259,-288,False
79,-79,255,-282,False
78,-78,245,-277,False
77,-77,248,-269,False
76,-76,241,-267,False
75,-75,241,-253,False
74,-74,239,-254,False
73,-73,226,-255,False
72,-72,229,-247,False
71,-71,225,-243,False
70,-70,220,-226,False
69,-69,216,-230,False
68,-68,208,-229,False
67,-67,204,-223,False
66,-66,203,-218,False
65,-65,198,-217,False
64,-64,179,-208,False
63,-63,184,-208,False
62,-62,181,-202,False
61,-61,177,-186,False
60,-60,178,-193,False
59,-59,181,-192,False
58,-58,174,-184,False
57,-57,170,-181,False
56,-56,171,-175,False
55,-55,169,-163,False
54,-54,166,-155,False
53,-53,159,-160,False
52,-52,157,-156,False
51,-51,152,-150,False
50,-50,141,-137,False
49,-49,140,-139,False
48,-48,137,-137,False
47,-47,134,-131,False
46,-46,124,-124,False
45,-45,108,-123,False
44,-44,119,-118,False
43,-43,117,-113,False
42,-42,113,-107,False
41,-41,107,-92,False
40,-40,98,-82,False
39,-39,98,-84,False
38,-38,93,-88,False
37,-37,88,-85,False
36,-36,85,-81,False
35,-35,79,-76,False
34,-34,73,-72,False
33,-33,55,-68,False
32,-32,42,-62,False
31,-31,36,-59,False
30,-30,46,-53,False
29,-29,47,-48,False
28,-28,39,-44,False
27,-27,36,-40,False
26,-26,34,-34,False
25,-25,27,-31,False
24,-24,15,-24,False
23,-23,4,-12,False
22,-22,0,0,False
21,-21,0,0,False
20,-20,0,0,False
19,-19,0,0,False
18,-18,0,0,False
17,-17,0,0,False
16,-16,0,0,False
15,-15,0,0,False
14,-14,0,0,False
13,-13,0,0,False
12,-12,0,0,False
11,-11,0,0,False
10,-10,0,0,False
9,-9,0,0,False
8,-8,0,0,False
7,-7,0,0,False
6,-6,0,0,False
5,-5,0,0,False
4,-4,0,0,False
