command,delta_left,delta_right
0,0,0
100,1347,1658
100,1356,1707
100,1391,1815
120,1957,2189
120,1991,2218
120,1981,2213
140,2321,2715
140,2287,2732
140,2356,2711
160,2906,3161
160,2910,3153
160,2908,3171
180,3202,3588
180,3162,3621
180,3178,3643
200,3854,4063
200,3864,4075
200,3858,4106
-100,-1558,-1826
-100,-1558,-1854
-100,-1564,-1881
-120,-1970,-2393
-120,-1954,-2417
-120,-1912,-2429
-140,-2455,-2890
-140,-2418,-2936
-140,-2441,-2935
-160,-2907,-3422
-160,-2912,-3464
-160,-2887,-3484
-180,-3122,-3873
-180,-3158,-3902
-180,-3155,-3896
-200,-3672,-4413
-200,-3645,-4431
-200,-3731,-4401
0,0,0
