phase,x,y,theta,alpha,ref_x,ref_y,ref_theta,ref_alpha
0,0.0,0.0,0.0,89.50464003241191,0,0,0.0,11.2
0,0.0,0.0,0.0,89.50163337442903,0,0,0.0,11.2
0,0.0,0.0,0.0,89.49956280900301,0,0,0.0,11.2
0,0.0,0.0,0.0,89.49698154031654,0,0,0.0,11.2
0,0.0,0.0,0.0,89.49542025919631,0,0,0.0,11.2
0,0.0,0.0,0.0,89.49382501071454,0,0,0.0,11.2
0,0.0,0.0,0.0,89.49333661095305,0,0,0.0,11.2
0,0.0,0.0,0.0,89.49181838014046,0,0,0.0,11.2
0,0.0,0.0,0.0,89.48976409925723,0,0,0.0,11.2
0,0.0,0.0,0.0,89.49020423871141,0,0,0.0,11.2
0,0.0,0.0,0.0,89.48639984173778,0,0,0.0,11.2
0,0.0,0.0,0.0,89.4848279803094,0,0,0.0,11.2
0,0.0,0.0,0.0,89.48328970255135,0,0,0.0,11.2
0,0.0,0.0,0.0,89.48169520488986,0,0,0.0,11.2
0,0.0,0.0,0.0,89.48373748985722,0,0,0.0,11.2
0,0.0,0.0,0.0,89.4800582909794,0,0,0.0,11.2
0,0.0,0.0,0.0,89.48049816830701,0,0,0.0,11.2
0,0.0,0.0,0.0,89.4809195902656,0,0,0.0,11.2
0,0.0,0.0,0.0,89.48034517308672,0,0,0.0,11.2
0,0.0,0.0,0.0,89.48038789377559,0,0,0.0,11.2
0,0.0,0.0,0.0,89.48092285979443,0,0,0.0,11.2
0,0.0,0.0,0.0,89.48038030730498,0,0,0.0,11.2
0,0.0,0.0,0.0,89.47877610270078,0,0,0.0,11.2
0,0.0,0.0,0.0,89.47981305289021,0,0,0.0,11.2
0,0.0,0.0,0.0,89.47566569203865,0,0,0.0,11.2
0,0.0,0.0,0.0,89.47630299032443,0,0,0.0,11.2
0,0.0,0.0,0.0,89.47746070482499,0,0,0.0,11.2
0,0.0,0.0,0.0,89.47806971191837,0,0,0.0,11.2
0,0.0,0.0,0.0,89.47556598286653,0,0,0.0,11.2
